BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
159	-5.409	-5.43875	0.00256988
160	-5.48043	-5.43901	0.00256698
161	-5.4643	-5.43916	0.00255584
162	-5.46036	-5.4393	0.00254341
163	-5.45079	-5.43937	0.00252878
164	-5.44942	-5.43943	0.00251411
165	-5.42189	-5.43932	0.00250112
166	-5.42388	-5.43923	0.00248778
167	-5.40238	-5.43901	0.00248265
168	-5.40649	-5.43881	0.0024754
169	-5.46462	-5.43897	0.00246546
170	-5.41535	-5.43883	0.00245487
171	-5.44933	-5.43889	0.00244128
172	-5.50799	-5.43929	0.00245992
173	-5.47039	-5.43947	0.00245226
174	-5.42371	-5.43938	0.00243984
175	-5.46907	-5.43955	0.00243179
176	-5.48177	-5.43979	0.00242978
177	-5.4151	-5.43965	0.00242005
178	-5.4987	-5.43998	0.00242908
179	-5.44143	-5.43999	0.00241553
180	-5.39204	-5.43972	0.00241676
181	-5.42958	-5.43967	0.00240405
182	-5.43082	-5.43962	0.00239134
183	-5.45052	-5.43968	0.00237901
184	-5.41451	-5.43954	0.00237001
185	-5.45155	-5.43961	0.00235809
186	-5.48235	-5.43984	0.00235658
187	-5.39779	-5.43961	0.00235468
188	-5.42746	-5.43955	0.00234305
189	-5.44529	-5.43958	0.00233085
190	-5.4763	-5.43977	0.00232658
191	-5.49194	-5.44004	0.00233037
192	-5.45746	-5.44013	0.00232
193	-5.45529	-5.44021	0.00230931
194	-5.45256	-5.44028	0.00229828
195	-5.47842	-5.44047	0.0022948
196	-5.39762	-5.44025	0.00229349
197	-5.4747	-5.44043	0.0022885
198	-5.47812	-5.44062	0.00228485
199	-5.4269	-5.44055	0.00227441
200	-5.38944	-5.44029	0.00227735
201	-5.46936	-5.44044	0.0022706
202	-5.45013	-5.44049	0.00225987
203	-5.45853	-5.44058	0.00225048
204	-5.47478	-5.44074	0.00224569
205	-5.45376	-5.44081	0.00223563
206	-5.46478	-5.44092	0.00222781
207	-5.48929	-5.44116	0.00222926
208	-5.43435	-5.44112	0.00221878
209	-5.42033	-5.44102	0.0022104
210	-5.41999	-5.44092	0.00220214
211	-5.42482	-5.44085	0.00219303
