BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
177	1.66011	1.65894	0.00206668
178	1.69863	1.65916	0.00206706
179	1.67752	1.65927	0.00205806
180	1.69912	1.65949	0.0020585
181	1.67301	1.65956	0.00204848
182	1.64558	1.65949	0.00203867
183	1.63256	1.65934	0.00203283
184	1.66883	1.65939	0.00202244
185	1.75453	1.6599	0.00207586
186	1.69555	1.6601	0.00207353
187	1.70736	1.66035	0.00207779
188	1.64435	1.66026	0.00206848
189	1.65253	1.66022	0.00205794
190	1.66229	1.66023	0.00204713
191	1.67972	1.66034	0.00203896
192	1.65039	1.66028	0.00202899
193	1.65806	1.66027	0.00201851
194	1.67765	1.66036	0.00201009
195	1.74276	1.66078	0.00204372
196	1.6266	1.66061	0.00204072
197	1.65332	1.66057	0.0020307
198	1.65271	1.66053	0.00202083
199	1.63669	1.66041	0.00201422
200	1.64881	1.66036	0.00200499
201	1.65282	1.66032	0.00199536
202	1.66178	1.66033	0.0019855
203	1.66596	1.66035	0.00197591
204	1.67574	1.66043	0.00196767
205	1.63516	1.66031	0.00196192
206	1.66063	1.66031	0.0019524
207	1.6617	1.66031	0.00194298
208	1.657	1.6603	0.0019337
209	1.67571	1.66037	0.00192586
210	1.64875	1.66032	0.00191748
211	1.71267	1.66056	0.00192438
212	1.68426	1.66068	0.00191854
213	1.64162	1.66059	0.00191162
214	1.70586	1.6608	0.00191436
215	1.69853	1.66097	0.00191348
216	1.65795	1.66096	0.00190468
217	1.63119	1.66082	0.00190083
218	1.66758	1.66085	0.00189236
219	1.699	1.66103	0.00189172
220	1.64541	1.66096	0.00188446
221	1.68906	1.66108	0.00188021
222	1.68882	1.66121	0.00187589
223	1.65289	1.66117	0.00186785
224	1.61811	1.66098	0.00186938
225	1.69932	1.66115	0.00186882
226	1.6677	1.66118	0.00186078
227	1.6294	1.66104	0.00185784
228	1.61106	1.66082	0.00186258
229	1.64078	1.66073	0.0018565
230	1.74589	1.6611	0.00188498
231	1.65164	1.66106	0.00187727
232	1.63086	1.66093	0.00187369
233	1.68608	1.66104	0.00186875
234	1.65372	1.66101	0.00186103
235	1.67456	1.66107	0.001854
236	1.7068	1.66126	0.00185625
237	1.65894	1.66125	0.00184844
238	1.63518	1.66114	0.00184392
239	1.69961	1.6613	0.00184322
240	1.70858	1.6615	0.00184603
241	1.64694	1.66144	0.00183936
242	1.66605	1.66146	0.00183186
243	1.67341	1.66151	0.00182498
244	1.67173	1.66155	0.00181798
245	1.68045	1.66162	0.0018122
246	1.63667	1.66152	0.00180767
247	1.69707	1.66167	0.00180607
248	1.68209	1.66175	0.00180066
249	1.63358	1.66164	0.00179698
250	1.68177	1.66172	0.0017916
251	1.66047	1.66171	0.00178447
252	1.70109	1.66187	0.00178422
253	1.65153	1.66183	0.00177763
254	1.63177	1.66171	0.00177457
255	1.72099	1.66194	0.00178277
256	1.65702	1.66192	0.00177591
257	1.69684	1.66206	0.00177419
258	1.64166	1.66198	0.00176908
259	1.68472	1.66207	0.00176442
260	1.68545	1.66216	0.00175993
261	1.71845	1.66237	0.00176635
262	1.65162	1.66233	0.00176009
263	1.6571	1.66231	0.00175351
264	1.70691	1.66248	0.00175498
265	1.62488	1.66234	0.00175409
266	1.67236	1.66238	0.0017479
267	1.65825	1.66236	0.00174142
268	1.62953	1.66224	0.00173922
269	1.70535	1.6624	0.00174013
270	1.67755	1.66245	0.00173459
271	1.71015	1.66263	0.00173709
272	1.68321	1.66271	0.00173235
273	1.65726	1.66269	0.00172612
274	1.67631	1.66274	0.00172054
275	1.67704	1.66279	0.00171507
276	1.64697	1.66273	0.00170981
277	1.63113	1.66262	0.00170744
278	1.68117	1.66268	0.0017026
279	1.68019	1.66275	0.00169766
280	1.69225	1.66285	0.00169486
281	1.71509	1.66304	0.00169899
282	1.66903	1.66306	0.0016931
283	1.6552	1.66303	0.00168735
284	1.63172	1.66292	0.001685
285	1.67407	1.66296	0.00167954
286	1.71457	1.66314	0.00168334
287	1.71692	1.66333	0.00168787
288	1.68494	1.6634	0.00168368
289	1.67954	1.66346	0.00167878
290	1.69124	1.66355	0.00167572
291	1.65948	1.66354	0.00167002
292	1.69314	1.66364	0.00166738
293	1.67161	1.66367	0.00166191
294	1.6134	1.6635	0.00166503
295	1.67854	1.66355	0.00166016
296	1.68418	1.66362	0.00165602
297	1.66541	1.66362	0.00165045
298	1.7104	1.66378	0.00165236
299	1.64722	1.66373	0.00164776
300	1.64091	1.66365	0.00164402
301	1.69143	1.66374	0.00164115
302	1.70408	1.66388	0.00164114
303	1.64137	1.6638	0.0016374
304	1.69294	1.6639	0.00163482
305	1.67158	1.66392	0.00162966
306	1.68834	1.664	0.00162628
307	1.6905	1.66409	0.00162327
308	1.69464	1.66419	0.00162103
309	1.68009	1.66424	0.0016166
310	1.65242	1.6642	0.00161184
311	1.63173	1.6641	0.00161003
312	1.62222	1.66396	0.00161046
313	1.66277	1.66396	0.00160532
314	1.67694	1.664	0.00160074
315	1.67256	1.66403	0.00159589
316	1.66599	1.66403	0.00159085
317	1.65345	1.664	0.00158618
318	1.71282	1.66415	0.0015886
319	1.71853	1.66432	0.00159274
320	1.66366	1.66432	0.00158777
321	1.65224	1.66428	0.00158327
322	1.64943	1.66424	0.00157902
323	1.64694	1.66418	0.00157504
324	1.68446	1.66425	0.00157142
325	1.67786	1.66429	0.00156714
326	1.67374	1.66432	0.00156261
327	1.66825	1.66433	0.00155787
328	1.67217	1.66435	0.00155331
329	1.67931	1.6644	0.00154925
330	1.64314	1.66434	0.0015459
331	1.67928	1.66438	0.00154188
332	1.69925	1.66449	0.00154081
333	1.68439	1.66455	0.00153735
334	1.67031	1.66456	0.00153284
335	1.67092	1.66458	0.00152838
336	1.68974	1.66466	0.00152567
337	1.64091	1.66459	0.00152277
338	1.68551	1.66465	0.00151952
339	1.6742	1.66468	0.0015153
340	1.64676	1.66462	0.00151176
341	1.69834	1.66472	0.00151055
342	1.6601	1.66471	0.0015062
343	1.6442	1.66465	0.00150299
344	1.66406	1.66465	0.00149862
345	1.67205	1.66467	0.00149443
346	1.66351	1.66467	0.00149012
347	1.66693	1.66467	0.00148584
348	1.68845	1.66474	0.00148314
349	1.66518	1.66474	0.00147889
350	1.65255	1.66471	0.00147507
351	1.65906	1.66469	0.00147096
352	1.65953	1.66468	0.00146685
353	1.64698	1.66463	0.00146356
354	1.63638	1.66455	0.00146159
355	1.70617	1.66466	0.00146217
356	1.66626	1.66467	0.00145807
357	1.6542	1.66464	0.00145428
358	1.64176	1.66457	0.00145162
359	1.70228	1.66468	0.00145138
360	1.65969	1.66467	0.00144741
361	1.66086	1.66465	0.00144344
362	1.6744	1.66468	0.0014397
363	1.69342	1.66476	0.00143791
364	1.64605	1.66471	0.00143488
365	1.68329	1.66476	0.00143185
366	1.67427	1.66479	0.00142817
367	1.68622	1.66484	0.00142548
368	1.70699	1.66496	0.00142619
369	1.63644	1.66488	0.00142442
370	1.64593	1.66483	0.00142149
371	1.66359	1.66483	0.00141767
372	1.64376	1.66477	0.00141499
373	1.67881	1.66481	0.00141169
374	1.68587	1.66486	0.00140904
375	1.66341	1.66486	0.00140529
376	1.66765	1.66487	0.00140157
377	1.6685	1.66488	0.00139789
378	1.72818	1.66505	0.00140418
379	1.70251	1.66514	0.00140395
380	1.63946	1.66508	0.00140188
381	1.60895	1.66493	0.00140592
382	1.68579	1.66498	0.0014033
383	1.64375	1.66493	0.00140073
384	1.66584	1.66493	0.00139709
385	1.70753	1.66504	0.00139784
386	1.68975	1.66511	0.00139568
387	1.67419	1.66513	0.00139227
388	1.68788	1.66519	0.00138992
389	1.60971	1.66505	0.00139364
390	1.66587	1.66505	0.00139007
391	1.63654	1.66497	0.00138842
392	1.69014	1.66504	0.00138636
393	1.66522	1.66504	0.00138284
394	1.63811	1.66497	0.00138102
395	1.68595	1.66502	0.00137854
396	1.63502	1.66495	0.00137714
397	1.63392	1.66487	0.00137589
398	1.62697	1.66477	0.00137572
399	1.66194	1.66477	0.00137229
400	1.66356	1.66476	0.00136886
401	1.63578	1.66469	0.00136736
402	1.68442	1.66474	0.00136483
403	1.68989	1.6648	0.00136287
404	1.66966	1.66482	0.00135955
405	1.67809	1.66485	0.00135659
406	1.6402	1.66479	0.00135461
407	1.69059	1.66485	0.00135276
408	1.66363	1.66485	0.00134945
409	1.66317	1.66484	0.00134616
410	1.70713	1.66495	0.00134682
411	1.65988	1.66493	0.0013436
412	1.62747	1.66484	0.00134341
413	1.67754	1.66487	0.00134051
414	1.67544	1.6649	0.00133751
415	1.70687	1.665	0.00133811
416	1.66415	1.665	0.00133489
417	1.65228	1.66497	0.00133204
418	1.65244	1.66494	0.00132919
419	1.67274	1.66496	0.00132615
420	1.68163	1.665	0.00132359
421	1.63403	1.66492	0.00132248
422	1.65401	1.6649	0.0013196
423	1.62921	1.66481	0.00131918
424	1.65262	1.66478	0.00131638
425	1.69136	1.66485	0.00131477
426	1.71525	1.66497	0.00131699
427	1.66676	1.66497	0.00131391
428	1.68043	1.66501	0.00131134
429	1.65324	1.66498	0.00130857
430	1.61301	1.66486	0.0013111
431	1.67307	1.66488	0.00130819
432	1.72148	1.66501	0.00131171
433	1.64936	1.66497	0.00130918
434	1.67105	1.66499	0.00130624
435	1.63073	1.66491	0.00130561
436	1.67846	1.66494	0.00130298
437	1.6843	1.66498	0.00130075
438	1.69157	1.66504	0.0012992
439	1.68126	1.66508	0.00129676
440	1.64312	1.66503	0.00129478
441	1.61413	1.66491	0.00129698
442	1.68982	1.66497	0.00129527
443	1.70552	1.66506	0.00129557
444	1.65822	1.66505	0.00129274
445	1.69337	1.66511	0.00129141
446	1.63336	1.66504	0.00129047
447	1.66336	1.66504	0.00128759
448	1.69092	1.66509	0.00128601
449	1.68771	1.66514	0.00128413
450	1.67916	1.66517	0.00128166
451	1.64929	1.66514	0.0012793
452	1.64835	1.6651	0.00127701
453	1.64205	1.66505	0.0012752
454	1.66967	1.66506	0.00127243
455	1.68749	1.66511	0.00127059
456	1.68328	1.66515	0.00126843
457	1.63465	1.66508	0.00126741
458	1.62553	1.665	0.00126758
459	1.63826	1.66494	0.00126616
460	1.69134	1.665	0.0012647
461	1.67889	1.66503	0.00126232
462	1.65672	1.66501	0.00125972
463	1.61933	1.66491	0.00126085
464	1.65249	1.66488	0.00125842
465	1.66726	1.66489	0.00125572
466	1.65351	1.66486	0.00125327
467	1.68084	1.6649	0.00125105
468	1.64892	1.66486	0.00124884
469	1.67691	1.66489	0.00124644
470	1.72789	1.66502	0.00125098
471	1.67372	1.66504	0.00124846
472	1.63479	1.66498	0.00124746
473	1.68654	1.66502	0.00124565
474	1.65958	1.66501	0.00124308
475	1.68023	1.66504	0.00124087
476	1.72333	1.66517	0.00124429
477	1.66156	1.66516	0.00124171
478	1.64307	1.66511	0.00123997
479	1.65711	1.6651	0.00123749
480	1.63706	1.66504	0.00123629
481	1.62457	1.66495	0.00123658
482	1.68057	1.66499	0.00123444
483	1.64943	1.66495	0.0012323
484	1.7091	1.66505	0.00123313
485	1.67775	1.66507	0.00123086
486	1.69229	1.66513	0.0012296
487	1.69066	1.66518	0.0012282
488	1.72814	1.66531	0.00123244
489	1.66737	1.66531	0.00122992
490	1.65789	1.6653	0.00122751
491	1.66792	1.6653	0.00122502
492	1.60583	1.66518	0.00122848
493	1.65925	1.66517	0.00122605
494	1.63647	1.66511	0.00122494
495	1.68781	1.66516	0.00122332
496	1.67536	1.66518	0.00122103
497	1.68194	1.66521	0.00121904
498	1.68993	1.66526	0.0012176
499	1.615	1.66516	0.00121932
500	1.65568	1.66514	0.00121703
501	1.67484	1.66516	0.00121475
502	1.67468	1.66518	0.00121248
503	1.67453	1.6652	0.00121021
504	1.68321	1.66524	0.00120834
505	1.67349	1.66525	0.00120606
506	1.62593	1.66517	0.00120617
507	1.62854	1.6651	0.00120596
508	1.69891	1.66517	0.00120542
509	1.71908	1.66527	0.00120769
510	1.60246	1.66515	0.00121159
511	1.61375	1.66505	0.00121339
512	1.66479	1.66505	0.00121102
513	1.65006	1.66502	0.00120901
514	1.62274	1.66494	0.00120945
515	1.68336	1.66497	0.00120763
516	1.64776	1.66494	0.00120575
517	1.64869	1.66491	0.00120383
518	1.69868	1.66497	0.00120327
519	1.67876	1.665	0.00120125
520	1.6415	1.66496	0.00119979
521	1.62719	1.66488	0.00119967
522	1.66563	1.66488	0.00119737
523	1.64831	1.66485	0.0011955
524	1.62917	1.66479	0.00119516
525	1.63718	1.66473	0.00119404
526	1.71161	1.66482	0.00119509
527	1.67152	1.66483	0.00119289
528	1.63897	1.66479	0.00119164
529	1.63693	1.66473	0.00119055
530	1.61686	1.66464	0.00119172
531	1.70296	1.66471	0.00119166
532	1.69688	1.66477	0.00119095
533	1.66599	1.66478	0.00118872
534	1.69328	1.66483	0.00118769
535	1.69492	1.66489	0.0011868
536	1.69704	1.66495	0.0011861
537	1.67261	1.66496	0.00118398
538	1.64081	1.66492	0.00118263
539	1.63879	1.66487	0.00118143
540	1.69036	1.66491	0.00118018
541	1.65393	1.66489	0.00117818
542	1.63558	1.66484	0.00117724
543	1.66714	1.66484	0.00117508
544	1.61806	1.66476	0.00117607
