BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
159	-3.77759	-3.77738	0.000102249
160	-3.77621	-3.77738	0.000101873
161	-3.77735	-3.77738	0.000101241
162	-3.7766	-3.77737	0.00010073
163	-3.77854	-3.77738	0.000100368
164	-3.77656	-3.77737	9.98796e-05
165	-3.7778	-3.77738	9.93072e-05
166	-3.77778	-3.77738	9.87384e-05
167	-3.77843	-3.77739	9.83487e-05
168	-3.77825	-3.77739	9.78993e-05
169	-3.77966	-3.7774	9.82389e-05
170	-3.77975	-3.77742	9.86261e-05
171	-3.77847	-3.77742	9.82404e-05
172	-3.77547	-3.77741	9.83255e-05
173	-3.77606	-3.7774	9.80671e-05
174	-3.77526	-3.77739	9.82716e-05
175	-3.77375	-3.77737	9.98936e-05
176	-3.77456	-3.77736	0.000100597
177	-3.77859	-3.77736	0.00010027
178	-3.77594	-3.77735	0.000100023
179	-3.77806	-3.77736	9.95423e-05
180	-3.77659	-3.77735	9.90813e-05
181	-3.77736	-3.77735	9.85339e-05
182	-3.77788	-3.77736	9.80343e-05
183	-3.77664	-3.77735	9.75762e-05
184	-3.77985	-3.77737	9.79814e-05
185	-3.77787	-3.77737	9.74894e-05
186	-3.77885	-3.77738	9.72899e-05
187	-3.77671	-3.77737	9.6836e-05
188	-3.77531	-3.77736	9.6939e-05
189	-3.77851	-3.77737	9.66144e-05
190	-3.77857	-3.77738	9.63123e-05
191	-3.77699	-3.77737	9.58294e-05
192	-3.77782	-3.77738	9.53591e-05
193	-3.77677	-3.77737	9.4916e-05
194	-3.77935	-3.77738	9.49729e-05
195	-3.78029	-3.7774	9.56456e-05
196	-3.77624	-3.77739	9.53411e-05
197	-3.77768	-3.77739	9.48685e-05
198	-3.77787	-3.7774	9.44196e-05
199	-3.77618	-3.77739	9.41412e-05
200	-3.77426	-3.77737	9.49647e-05
201	-3.77783	-3.77738	9.45198e-05
202	-3.77669	-3.77737	9.41129e-05
203	-3.77868	-3.77738	9.38699e-05
204	-3.77922	-3.77739	9.38429e-05
205	-3.77782	-3.77739	9.34087e-05
206	-3.77886	-3.7774	9.32278e-05
207	-3.77528	-3.77739	9.33374e-05
208	-3.77972	-3.7774	9.35604e-05
209	-3.77636	-3.77739	9.32438e-05
210	-3.77664	-3.77739	9.28688e-05
211	-3.77832	-3.77739	9.25337e-05
212	-3.7776	-3.7774	9.21022e-05
213	-3.77375	-3.77738	9.32484e-05
214	-3.77807	-3.77738	9.2869e-05
215	-3.7804	-3.7774	9.34958e-05
216	-3.77952	-3.77741	9.35793e-05
217	-3.77581	-3.7774	9.34348e-05
218	-3.77785	-3.7774	9.30296e-05
219	-3.77696	-3.7774	9.26265e-05
220	-3.77818	-3.7774	9.22739e-05
221	-3.77758	-3.7774	9.18597e-05
222	-3.7784	-3.77741	9.15563e-05
223	-3.77638	-3.7774	9.1261e-05
224	-3.7789	-3.77741	9.10994e-05
225	-3.77957	-3.77742	9.1201e-05
226	-3.77688	-3.77742	9.08284e-05
227	-3.77687	-3.77741	9.04604e-05
228	-3.77669	-3.77741	9.01191e-05
229	-3.77531	-3.7774	9.01919e-05
230	-3.78005	-3.77741	9.05325e-05
231	-3.7797	-3.77742	9.06818e-05
232	-3.77508	-3.77741	9.08505e-05
233	-3.77597	-3.77741	9.0672e-05
234	-3.77883	-3.77741	9.04877e-05
235	-3.77784	-3.77741	9.01206e-05
236	-3.78083	-3.77743	9.08905e-05
237	-3.77759	-3.77743	9.05095e-05
238	-3.77808	-3.77743	9.01708e-05
239	-3.77812	-3.77744	8.98401e-05
240	-3.77786	-3.77744	8.94835e-05
241	-3.77775	-3.77744	8.91214e-05
242	-3.77948	-3.77745	8.91518e-05
243	-3.77621	-3.77744	8.89308e-05
244	-3.77968	-3.77745	8.90383e-05
245	-3.77997	-3.77746	8.92674e-05
246	-3.77757	-3.77746	8.89055e-05
247	-3.77589	-3.77746	8.87742e-05
248	-3.77912	-3.77746	8.86698e-05
249	-3.77709	-3.77746	8.83259e-05
250	-3.77598	-3.77745	8.81696e-05
251	-3.77529	-3.77745	8.82383e-05
252	-3.7768	-3.77744	8.79251e-05
253	-3.77707	-3.77744	8.759e-05
254	-3.7779	-3.77744	8.72635e-05
255	-3.77603	-3.77744	8.70982e-05
256	-3.77633	-3.77743	8.68653e-05
257	-3.77395	-3.77742	8.75781e-05
258	-3.77639	-3.77742	8.733e-05
259	-3.77947	-3.77742	8.73512e-05
260	-3.77825	-3.77743	8.70733e-05
261	-3.77725	-3.77743	8.67422e-05
262	-3.77733	-3.77743	8.6412e-05
263	-3.77807	-3.77743	8.61179e-05
264	-3.77695	-3.77743	8.58107e-05
265	-3.77549	-3.77742	8.57969e-05
266	-3.77459	-3.77741	8.61329e-05
267	-3.77688	-3.77741	8.58332e-05
268	-3.77634	-3.7774	8.56052e-05
269	-3.77935	-3.77741	8.55914e-05
270	-3.77902	-3.77742	8.54821e-05
271	-3.77937	-3.77742	8.54711e-05
272	-3.7767	-3.77742	8.51981e-05
273	-3.77792	-3.77742	8.4906e-05
274	-3.77644	-3.77742	8.46725e-05
275	-3.77693	-3.77742	8.43829e-05
276	-3.77486	-3.77741	8.45832e-05
277	-3.77693	-3.77741	8.42956e-05
278	-3.77936	-3.77741	8.42857e-05
279	-3.77811	-3.77742	8.40203e-05
280	-3.77878	-3.77742	8.38623e-05
281	-3.78059	-3.77743	8.43208e-05
282	-3.77708	-3.77743	8.4031e-05
283	-3.77762	-3.77743	8.37368e-05
284	-3.7762	-3.77743	8.35535e-05
285	-3.77734	-3.77743	8.32609e-05
286	-3.77624	-3.77742	8.30738e-05
287	-3.77779	-3.77742	8.2794e-05
288	-3.77775	-3.77742	8.25145e-05
289	-3.77743	-3.77742	8.22289e-05
290	-3.7785	-3.77743	8.20283e-05
291	-3.77757	-3.77743	8.17479e-05
292	-3.77855	-3.77743	8.15584e-05
293	-3.77765	-3.77743	8.12833e-05
294	-3.77579	-3.77743	8.11997e-05
295	-3.7785	-3.77743	8.10065e-05
296	-3.77797	-3.77743	8.07531e-05
297	-3.77766	-3.77743	8.04849e-05
298	-3.7765	-3.77743	8.02764e-05
299	-3.77735	-3.77743	8.00083e-05
300	-3.77724	-3.77743	7.97441e-05
301	-3.77844	-3.77743	7.95498e-05
302	-3.77807	-3.77744	7.93147e-05
303	-3.7793	-3.77744	7.92907e-05
304	-3.77756	-3.77744	7.90309e-05
305	-3.77722	-3.77744	7.8775e-05
306	-3.77836	-3.77744	7.85751e-05
