BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
177	1.0906	1.1076	0.00158707
178	1.14707	1.10782	0.00159357
179	1.10823	1.10782	0.00158467
180	1.07741	1.10765	0.00158485
181	1.10242	1.10762	0.00157635
182	1.10283	1.1076	0.00156791
183	1.11383	1.10763	0.00155971
184	1.09221	1.10755	0.00155349
185	1.11424	1.10758	0.00154551
186	1.13677	1.10774	0.00154515
187	1.08169	1.1076	0.00154315
188	1.09859	1.10755	0.00153569
189	1.1098	1.10757	0.00152761
190	1.13292	1.1077	0.00152539
191	1.14108	1.10787	0.00152738
192	1.11955	1.10793	0.00152064
193	1.11833	1.10799	0.00151371
194	1.11495	1.10802	0.00150633
195	1.13234	1.10815	0.00150376
196	1.0817	1.10801	0.00150213
197	1.1324	1.10814	0.0014996
198	1.13299	1.10826	0.00149727
199	1.10036	1.10822	0.00149027
200	1.07517	1.10806	0.00149196
201	1.12598	1.10815	0.00148719
202	1.11286	1.10817	0.00148001
203	1.1191	1.10822	0.0014737
204	1.12921	1.10833	0.00147006
205	1.11736	1.10837	0.00146355
206	1.12316	1.10844	0.00145821
207	1.1397	1.10859	0.00145896
208	1.10361	1.10857	0.00145215
209	1.09581	1.10851	0.00144648
210	1.09656	1.10845	0.00144071
211	1.09942	1.10841	0.00143452
212	1.1248	1.10849	0.00142983
213	1.13015	1.10859	0.00142673
214	1.11608	1.10862	0.0014205
215	1.12429	1.1087	0.00141576
216	1.113	1.10872	0.00140934
217	1.14449	1.10888	0.00141246
218	1.10559	1.10887	0.00140606
219	1.09895	1.10882	0.00140037
220	1.10394	1.1088	0.00139418
221	1.116	1.10883	0.00138825
222	1.12992	1.10893	0.00138524
223	1.10781	1.10892	0.00137904
224	1.126	1.109	0.00137499
225	1.11979	1.10905	0.00136972
226	1.1133	1.10906	0.00136378
227	1.12742	1.10915	0.00136017
228	1.08139	1.10902	0.00135964
229	1.12323	1.10909	0.00135512
230	1.12852	1.10917	0.00135186
231	1.11878	1.10921	0.00134665
232	1.11983	1.10926	0.00134162
233	1.14168	1.1094	0.00134306
234	1.12703	1.10947	0.00133943
235	1.09955	1.10943	0.0013344
236	1.07954	1.1093	0.00133474
237	1.12324	1.10936	0.0013304
238	1.13617	1.10947	0.00132957
239	1.07841	1.10934	0.00133035
240	1.12502	1.10941	0.00132641
241	1.12877	1.10949	0.00132334
242	1.11176	1.1095	0.0013179
243	1.10167	1.10947	0.00131287
244	1.11374	1.10948	0.00130761
245	1.10286	1.10946	0.00130255
246	1.11218	1.10947	0.0012973
247	1.12818	1.10954	0.00129426
248	1.10655	1.10953	0.0012891
249	1.09954	1.10949	0.00128454
250	1.14262	1.10963	0.00128622
251	1.08716	1.10954	0.00128421
252	1.13219	1.10963	0.00128226
253	1.09132	1.10955	0.00127923
254	1.09322	1.10949	0.0012758
255	1.12601	1.10955	0.00127245
256	1.11595	1.10958	0.00126772
257	1.11235	1.10959	0.00126283
258	1.106	1.10958	0.00125802
259	1.11127	1.10958	0.00125318
260	1.09721	1.10953	0.00124926
261	1.09322	1.10947	0.00124604
262	1.11503	1.10949	0.00124146
263	1.09561	1.10944	0.00123786
264	1.08267	1.10934	0.00123732
265	1.12351	1.10939	0.00123381
266	1.13686	1.1095	0.00123348
267	1.09582	1.10944	0.00122992
268	1.09638	1.1094	0.0012263
269	1.12498	1.10945	0.00122311
270	1.13763	1.10956	0.00122303
271	1.1009	1.10953	0.00121893
272	1.13196	1.10961	0.00121724
273	1.11951	1.10964	0.00121332
274	1.11488	1.10966	0.00120904
275	1.10033	1.10963	0.00120512
276	1.12788	1.1097	0.00120256
277	1.1303	1.10977	0.00120052
278	1.08069	1.10967	0.00120075
279	1.09443	1.10961	0.00119769
280	1.12139	1.10965	0.00119415
281	1.12689	1.10971	0.00119147
282	1.14076	1.10982	0.00119232
283	1.1397	1.10993	0.00119278
284	1.11185	1.10994	0.00118859
285	1.09403	1.10988	0.00118573
286	1.05347	1.10968	0.00119788
287	1.08261	1.10959	0.00119741
288	1.10882	1.10959	0.00119326
289	1.13053	1.10966	0.00119133
290	1.10967	1.10966	0.00118722
291	1.11699	1.10968	0.00118341
292	1.10795	1.10968	0.00117937
293	1.12626	1.10974	0.0011767
294	1.10865	1.10973	0.00117271
295	1.1329	1.10981	0.00117136
296	1.11055	1.10981	0.0011674
297	1.12057	1.10985	0.00116403
298	1.12196	1.10989	0.00116084
299	1.0791	1.10979	0.00116151
300	1.07987	1.10969	0.00116191
301	1.08885	1.10962	0.00116012
302	1.08269	1.10953	0.00115969
303	1.13456	1.10961	0.00115881
304	1.11442	1.10963	0.0011551
305	1.11493	1.10964	0.00115144
306	1.06888	1.10951	0.00115536
307	1.10936	1.10951	0.0011516
308	1.12066	1.10955	0.00114843
309	1.07746	1.10944	0.0011494
310	1.12829	1.1095	0.0011473
311	1.08469	1.10942	0.00114638
312	1.11379	1.10944	0.00114279
313	1.09627	1.1094	0.00113991
314	1.09281	1.10934	0.00113751
315	1.10688	1.10934	0.00113392
316	1.12472	1.10938	0.00113138
317	1.14622	1.1095	0.00113376
318	1.12484	1.10955	0.00113122
319	1.08089	1.10946	0.00113124
320	1.12974	1.10952	0.00112948
321	1.12575	1.10957	0.00112709
322	1.14187	1.10967	0.00112804
323	1.12193	1.10971	0.00112519
324	1.0738	1.1096	0.00112716
325	1.10669	1.10959	0.00112373
326	1.10943	1.10959	0.00112028
327	1.09076	1.10953	0.00111834
328	1.08228	1.10945	0.00111801
329	1.07219	1.10934	0.00112033
330	1.10829	1.10933	0.00111694
331	1.13626	1.10941	0.00111653
332	1.13862	1.1095	0.00111662
333	1.10269	1.10948	0.00111346
334	1.08278	1.1094	0.00111299
335	1.11422	1.10942	0.00110976
336	1.13501	1.10949	0.00110907
337	1.08871	1.10943	0.00110749
338	1.08302	1.10935	0.00110697
339	1.12936	1.10941	0.00110527
340	1.12221	1.10945	0.00110266
341	1.12013	1.10948	0.00109987
342	1.10689	1.10947	0.00109668
343	1.12047	1.10951	0.00109396
344	1.11133	1.10951	0.00109079
345	1.10234	1.10949	0.00108782
346	1.09812	1.10946	0.00108518
347	1.08508	1.10939	0.00108432
348	1.08392	1.10931	0.00108367
349	1.13162	1.10938	0.00108245
350	1.10723	1.10937	0.00107938
351	1.12866	1.10943	0.0010777
352	1.09446	1.10938	0.00107548
353	1.09628	1.10935	0.00107307
354	1.13526	1.10942	0.00107253
355	1.12629	1.10947	0.00107056
356	1.1041	1.10945	0.00106766
357	1.08932	1.1094	0.00106616
358	1.11685	1.10942	0.00106338
359	1.144	1.10951	0.00106478
360	1.101	1.10949	0.00106208
361	1.12989	1.10955	0.00106064
362	1.12337	1.10958	0.0010584
363	1.12051	1.10961	0.00105591
364	1.14656	1.10972	0.00105788
365	1.10925	1.10971	0.00105498
366	1.11073	1.10972	0.0010521
367	1.10546	1.10971	0.0010493
368	1.11228	1.10971	0.00104647
369	1.13003	1.10977	0.00104508
370	1.11776	1.10979	0.00104248
371	1.09918	1.10976	0.00104006
372	1.13812	1.10984	0.00104006
373	1.09729	1.1098	0.00103781
374	1.12991	1.10986	0.00103643
375	1.10931	1.10986	0.00103367
376	1.08973	1.1098	0.0010323
377	1.10399	1.10979	0.00102968
378	1.10305	1.10977	0.00102711
379	1.11373	1.10978	0.00102445
380	1.08854	1.10972	0.00102328
381	1.10905	1.10972	0.0010206
382	1.08711	1.10966	0.00101964
383	1.12234	1.1097	0.00101752
384	1.10958	1.1097	0.00101487
385	1.13218	1.10975	0.00101391
386	1.10835	1.10975	0.00101129
387	1.10238	1.10973	0.00100885
388	1.05608	1.10959	0.00101569
389	1.13342	1.10965	0.00101492
390	1.13375	1.10972	0.0010142
391	1.08572	1.10965	0.00101346
392	1.11162	1.10966	0.00101089
393	1.096	1.10962	0.00100891
394	1.07554	1.10954	0.00101005
395	1.0974	1.10951	0.00100796
396	1.12275	1.10954	0.00100597
397	1.0732	1.10945	0.00100759
398	1.08612	1.10939	0.00100677
399	1.09313	1.10935	0.00100507
400	1.11754	1.10937	0.00100276
401	1.12433	1.10941	0.00100096
402	1.11873	1.10943	0.000998734
403	1.12517	1.10947	0.00099702
404	1.11573	1.10949	0.000994673
405	1.10009	1.10946	0.000992487
406	1.11613	1.10948	0.000990178
407	1.09761	1.10945	0.000988174
408	1.1066	1.10944	0.000985777
409	1.1035	1.10943	0.000983474
410	1.11923	1.10945	0.000981366
411	1.13805	1.10952	0.000981441
412	1.09482	1.10949	0.000979707
413	1.14663	1.10958	0.000981454
414	1.10504	1.10956	0.000979144
415	1.11526	1.10958	0.000976881
416	1.10566	1.10957	0.000974579
417	1.1297	1.10962	0.000973437
418	1.12101	1.10964	0.000971489
419	1.09745	1.10962	0.000969607
420	1.09172	1.10957	0.000968233
421	1.14303	1.10965	0.00096919
422	1.12398	1.10969	0.000967488
423	1.1109	1.10969	0.000965205
424	1.1115	1.10969	0.000962938
425	1.10161	1.10967	0.00096086
426	1.13432	1.10973	0.000960345
427	1.12881	1.10978	0.000959135
428	1.09627	1.10975	0.000957413
429	1.09499	1.10971	0.000955798
430	1.10449	1.1097	0.000953652
431	1.09928	1.10967	0.000951746
432	1.12045	1.1097	0.00094987
433	1.10163	1.10968	0.000947859
434	1.12626	1.10972	0.000946444
435	1.10868	1.10972	0.000944272
436	1.09514	1.10968	0.000942697
437	1.13918	1.10975	0.000942953
438	1.079	1.10968	0.00094341
439	1.12601	1.10972	0.000941995
440	1.09143	1.10968	0.00094077
441	1.10498	1.10967	0.000938697
442	1.10777	1.10966	0.000936583
443	1.09576	1.10963	0.000934994
444	1.11119	1.10963	0.000932895
445	1.07711	1.10956	0.000933656
446	1.10497	1.10955	0.00093162
447	1.08273	1.10949	0.000931465
448	1.14428	1.10957	0.000932617
449	1.12154	1.10959	0.000930921
450	1.11641	1.10961	0.000928975
451	1.08722	1.10956	0.000928241
452	1.12888	1.1096	0.000927171
453	1.08717	1.10955	0.000926446
454	1.07932	1.10949	0.000926795
455	1.09735	1.10946	0.000925142
456	1.13078	1.10951	0.000924294
457	1.10396	1.10949	0.000922351
458	1.09705	1.10947	0.000920737
459	1.11195	1.10947	0.000918747
460	1.10745	1.10947	0.00091676
461	1.10326	1.10946	0.000914871
462	1.13222	1.1095	0.000914216
463	1.11584	1.10952	0.000912344
464	1.08969	1.10948	0.000911378
465	1.0936	1.10944	0.000910057
466	1.09474	1.10941	0.000908651
467	1.11421	1.10942	0.000906764
468	1.1124	1.10943	0.000904848
469	1.10838	1.10942	0.000902922
