BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
177	0.885694	0.898237	0.00116805
178	0.926908	0.898398	0.00117254
179	0.899192	0.898403	0.00116599
180	0.876427	0.898281	0.00116589
181	0.894769	0.898261	0.00115961
182	0.894249	0.898239	0.00115345
183	0.902209	0.898261	0.00114735
184	0.885979	0.898194	0.00114305
185	0.903271	0.898222	0.00113721
186	0.92035	0.898341	0.0011373
187	0.879655	0.898241	0.0011356
188	0.890197	0.898198	0.00113036
189	0.898438	0.898199	0.00112438
190	0.916498	0.898296	0.00112258
191	0.922961	0.898425	0.00112411
192	0.906019	0.898464	0.00111895
193	0.90525	0.898499	0.0011137
194	0.904572	0.898531	0.0011084
195	0.916172	0.898621	0.0011064
196	0.878965	0.898521	0.00110529
197	0.916471	0.898612	0.00110343
198	0.917702	0.898708	0.00110206
199	0.893716	0.898683	0.00109681
200	0.873611	0.898558	0.00109847
201	0.911326	0.898621	0.00109484
202	0.902047	0.898638	0.00108955
203	0.906855	0.898679	0.00108493
204	0.914219	0.898755	0.00108229
205	0.90573	0.898789	0.00107754
206	0.909225	0.89884	0.0010735
207	0.922727	0.898955	0.0010745
208	0.894557	0.898934	0.00106954
209	0.889852	0.898891	0.00106531
210	0.890923	0.898853	0.00106091
211	0.892064	0.89882	0.00105637
212	0.911181	0.898879	0.001053
213	0.916232	0.89896	0.0010512
214	0.904048	0.898984	0.00104656
215	0.909778	0.899034	0.00104289
216	0.902576	0.899051	0.00103819
217	0.927728	0.899183	0.00104178
218	0.896891	0.899172	0.00103706
219	0.890893	0.899134	0.00103301
220	0.894846	0.899115	0.0010285
221	0.90491	0.899141	0.00102418
222	0.915407	0.899214	0.00102219
223	0.899586	0.899216	0.0010176
224	0.9122	0.899274	0.00101471
225	0.90783	0.899312	0.00101091
226	0.903517	0.899331	0.00100661
227	0.914548	0.899398	0.00100441
228	0.879496	0.89931	0.00100379
229	0.909769	0.899356	0.00100044
230	0.91507	0.899424	0.000998421
231	0.907333	0.899459	0.000994686
232	0.907544	0.899494	0.000991009
233	0.923525	0.899597	0.000992108
234	0.911818	0.899649	0.000989242
235	0.892431	0.899618	0.000985509
236	0.877781	0.899526	0.000985668
237	0.910957	0.899574	0.000982688
238	0.919075	0.899656	0.000981969
239	0.876658	0.89956	0.000982564
240	0.910358	0.899605	0.0009795
241	0.913996	0.899664	0.000977254
242	0.901472	0.899672	0.000973244
243	0.893848	0.899648	0.000969534
244	0.902932	0.899661	0.000965654
245	0.894621	0.899641	0.000961932
246	0.903076	0.899655	0.000958123
247	0.91403	0.899713	0.00095601
248	0.896633	0.8997	0.000952236
249	0.892723	0.899672	0.000948824
250	0.924726	0.899773	0.000950306
251	0.884097	0.89971	0.00094857
252	0.915898	0.899774	0.000946978
253	0.88584	0.899719	0.000944835
254	0.887499	0.899671	0.00094234
255	0.911763	0.899719	0.000939836
256	0.903186	0.899732	0.000936263
257	0.901516	0.899739	0.000932646
258	0.895722	0.899724	0.000929161
259	0.901865	0.899732	0.00092561
260	0.891398	0.8997	0.000922605
261	0.887748	0.899654	0.000920205
262	0.903142	0.899667	0.00091679
263	0.889405	0.899628	0.000914134
264	0.879422	0.899552	0.00091387
265	0.909389	0.899589	0.000911175
266	0.919097	0.899662	0.000910696
267	0.889711	0.899625	0.000908048
268	0.888904	0.899585	0.00090554
269	0.909563	0.899622	0.000902933
270	0.920496	0.899699	0.000902892
271	0.893208	0.899675	0.000899878
272	0.915158	0.899732	0.000898369
273	0.906378	0.899757	0.000895408
274	0.902915	0.899768	0.000892214
275	0.891761	0.899739	0.000889444
276	0.913466	0.899789	0.000887611
277	0.91485	0.899843	0.000886071
278	0.878569	0.899767	0.000886182
279	0.888236	0.899725	0.000883969
280	0.908936	0.899758	0.000881424
281	0.913876	0.899808	0.000879718
282	0.922646	0.899889	0.000880318
283	0.920792	0.899963	0.0008803
284	0.901501	0.899969	0.000877217
285	0.887855	0.899926	0.000875168
286	0.858758	0.899782	0.000883867
287	0.880623	0.899715	0.000883305
288	0.899724	0.899716	0.000880237
289	0.915279	0.899769	0.000878838
290	0.90026	0.899771	0.000875809
291	0.905596	0.899791	0.000873028
292	0.898647	0.899787	0.000870047
293	0.912255	0.89983	0.000868117
294	0.899895	0.89983	0.000865164
295	0.915923	0.899884	0.00086395
296	0.899354	0.899883	0.000861033
297	0.909163	0.899914	0.000858701
298	0.908584	0.899943	0.000856312
299	0.876461	0.899865	0.000857042
300	0.877282	0.899789	0.000857485
301	0.884066	0.899737	0.000856225
302	0.880136	0.899672	0.000855847
303	0.917741	0.899732	0.000855097
304	0.902589	0.899741	0.000852336
305	0.904227	0.899756	0.000849668
306	0.870385	0.89966	0.000852296
307	0.901095	0.899665	0.000849533
308	0.907967	0.899691	0.000847202
309	0.876575	0.899617	0.000847757
310	0.912332	0.899658	0.000846014
311	0.881675	0.8996	0.000845267
312	0.902864	0.89961	0.000842623
313	0.89084	0.899582	0.000840396
314	0.88703	0.899542	0.00083867
315	0.897794	0.899537	0.000836026
316	0.91182	0.899576	0.000834283
317	0.926957	0.899662	0.000836111
318	0.909874	0.899694	0.000834098
