BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
159	-7.55089	-7.54741	0.000970403
160	-7.55781	-7.54748	0.000966514
161	-7.55436	-7.54752	0.000961457
162	-7.53847	-7.54746	0.000957145
163	-7.56971	-7.5476	0.000960955
164	-7.54376	-7.54758	0.00095538
165	-7.52867	-7.54746	0.000956438
166	-7.54937	-7.54747	0.000950745
167	-7.54573	-7.54746	0.000945109
168	-7.56312	-7.54756	0.000944069
169	-7.53588	-7.54749	0.000941005
170	-7.54631	-7.54748	0.000935495
171	-7.53951	-7.54743	0.000931185
172	-7.53171	-7.54734	0.00093025
173	-7.53831	-7.54729	0.000926338
174	-7.56117	-7.54737	0.000924443
175	-7.56184	-7.54745	0.000922852
176	-7.54593	-7.54744	0.000917649
177	-7.5368	-7.54738	0.000914434
178	-7.5569	-7.54744	0.00091086
179	-7.54024	-7.5474	0.000906658
180	-7.5373	-7.54734	0.000903355
181	-7.53427	-7.54727	0.000901245
182	-7.54133	-7.54724	0.000896885
183	-7.54759	-7.54724	0.000891986
184	-7.55319	-7.54727	0.000887725
185	-7.54172	-7.54724	0.000883433
186	-7.55359	-7.54727	0.000879342
187	-7.55585	-7.54732	0.000875836
188	-7.54068	-7.54728	0.000871888
189	-7.54399	-7.54727	0.00086745
190	-7.5568	-7.54732	0.000864334
191	-7.52582	-7.5472	0.000867104
192	-7.57455	-7.54735	0.000874209
193	-7.57073	-7.54747	0.000878035
194	-7.56638	-7.54757	0.000878901
195	-7.53901	-7.54752	0.000875487
196	-7.54894	-7.54753	0.000871051
197	-7.54559	-7.54752	0.000866685
198	-7.5359	-7.54746	0.000864291
199	-7.5386	-7.54742	0.000861094
200	-7.5646	-7.5475	0.000861065
201	-7.56058	-7.54757	0.000859235
202	-7.56597	-7.54766	0.000859798
203	-7.56046	-7.54772	0.000857872
204	-7.52594	-7.54761	0.000860285
205	-7.55207	-7.54764	0.000856363
206	-7.53868	-7.54759	0.000853308
207	-7.52267	-7.54747	0.000857639
208	-7.53496	-7.54741	0.000855621
209	-7.56868	-7.54751	0.000857557
210	-7.54713	-7.54751	0.000853475
211	-7.52729	-7.54742	0.000854794
212	-7.55719	-7.54746	0.000852004
213	-7.53545	-7.54741	0.000849869
214	-7.53788	-7.54736	0.000847063
215	-7.54508	-7.54735	0.000843189
216	-7.52996	-7.54727	0.00084312
217	-7.52863	-7.54718	0.000843598
218	-7.57754	-7.54732	0.000851145
219	-7.53836	-7.54728	0.000848242
220	-7.5441	-7.54727	0.00084451
221	-7.54993	-7.54728	0.000840775
222	-7.54537	-7.54727	0.000837032
223	-7.55657	-7.54731	0.000834317
224	-7.52409	-7.54721	0.00083701
225	-7.53815	-7.54717	0.000834257
226	-7.5564	-7.54721	0.000831564
227	-7.55606	-7.54725	0.000828814
228	-7.57185	-7.54736	0.000832172
229	-7.56132	-7.54742	0.00083077
230	-7.50554	-7.54724	0.000846874
231	-7.53944	-7.5472	0.000843881
232	-7.55465	-7.54723	0.000840854
233	-7.54639	-7.54723	0.000837253
234	-7.55544	-7.54727	0.00083441
235	-7.55703	-7.54731	0.000831894
236	-7.54735	-7.54731	0.000828369
237	-7.53708	-7.54726	0.000825996
238	-7.55255	-7.54729	0.000822825
239	-7.52909	-7.54721	0.000822897
240	-7.53157	-7.54715	0.000822043
241	-7.54848	-7.54715	0.000818651
242	-7.56675	-7.54723	0.000819263
243	-7.55235	-7.54725	0.000816162
244	-7.54582	-7.54725	0.000812838
245	-7.53267	-7.54719	0.000811694
246	-7.54949	-7.5472	0.000808449
247	-7.54739	-7.5472	0.000805176
248	-7.54414	-7.54719	0.000802024
249	-7.56045	-7.54724	0.000800569
250	-7.54137	-7.54722	0.000797711
