BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
177	1.80299	1.85926	0.00287374
178	1.81781	1.85903	0.00286701
179	1.85716	1.85902	0.00285101
180	1.86921	1.85907	0.00283574
181	1.8607	1.85908	0.00282008
182	1.87976	1.85919	0.00280688
183	1.8835	1.85933	0.00279468
184	1.93304	1.85973	0.00280806
185	1.93714	1.86015	0.00282388
186	1.92788	1.86051	0.00283209
187	1.9235	1.86085	0.0028369
188	1.90225	1.86107	0.00283035
189	1.93426	1.86146	0.00284174
190	1.94218	1.86188	0.00285837
191	1.91095	1.86214	0.00285492
192	1.86431	1.86215	0.00284008
193	1.8642	1.86216	0.00282538
194	1.86861	1.86219	0.00281101
195	1.8795	1.86228	0.002798
196	1.89644	1.86246	0.00278915
197	1.9097	1.86269	0.00278528
198	1.94644	1.86312	0.00280314
199	1.93826	1.8635	0.00281437
200	1.95889	1.86397	0.00284042
201	1.93926	1.86435	0.00285088
202	1.8629	1.86434	0.00283678
203	1.88362	1.86443	0.0028244
204	1.87804	1.8645	0.00281134
205	1.90978	1.86472	0.00280629
206	1.92228	1.865	0.00280654
207	1.91182	1.86523	0.00280208
208	1.92481	1.86551	0.00280321
209	1.92989	1.86582	0.00280666
210	1.90391	1.866	0.00279915
211	1.93905	1.86635	0.00280721
212	1.9074	1.86654	0.00280064
213	1.91208	1.86676	0.00279564
214	1.92911	1.86705	0.00279772
215	1.85236	1.86698	0.00278554
216	1.86406	1.86697	0.00277268
217	1.91367	1.86718	0.00276824
218	1.83586	1.86704	0.00275927
219	1.84356	1.86693	0.00274875
220	1.92256	1.86718	0.00274786
221	1.88008	1.86724	0.00273605
222	1.90841	1.86743	0.00273
223	1.88082	1.86749	0.00271842
224	1.85771	1.86744	0.00270663
225	1.87385	1.86747	0.00269475
226	1.92817	1.86774	0.00269618
227	1.95233	1.86811	0.00270993
228	1.90936	1.86829	0.00270408
229	1.89322	1.8684	0.00269446
230	1.84604	1.86831	0.0026845
231	1.85614	1.86825	0.00267339
232	1.87216	1.86827	0.00266192
233	1.91145	1.86846	0.00265694
234	1.86171	1.86843	0.00264574
235	1.90488	1.86858	0.00263903
236	1.88583	1.86866	0.00262886
237	1.85331	1.86859	0.00261856
238	1.87403	1.86861	0.00260766
239	1.89021	1.8687	0.00259831
240	1.91148	1.86888	0.00259359
241	1.90818	1.86904	0.00258795
242	1.8836	1.86911	0.00257796
243	1.85521	1.86905	0.00256798
244	1.8218	1.86885	0.00256475
245	1.83288	1.86871	0.00255848
246	1.83648	1.86858	0.00255143
247	1.85985	1.86854	0.00254134
248	1.86003	1.86851	0.00253133
249	1.87905	1.86855	0.00252152
250	1.86182	1.86852	0.00251157
251	1.86402	1.8685	0.00250163
252	1.95165	1.86883	0.00251337
253	1.90243	1.86897	0.00250694
254	1.86309	1.86894	0.00249718
255	1.84823	1.86886	0.00248871
256	1.86686	1.86885	0.002479
257	1.85051	1.86878	0.00247038
258	1.85316	1.86872	0.00246155
259	1.85378	1.86867	0.00245272
260	1.86886	1.86867	0.00244328
261	1.90938	1.86882	0.0024389
262	1.89847	1.86894	0.00243221
263	1.96209	1.86929	0.00244862
264	2.00871	1.86982	0.00249565
265	1.96851	1.87019	0.00251387
266	1.94321	1.87046	0.00251936
267	1.99659	1.87094	0.00255382
268	1.92411	1.87114	0.00255199
269	1.8561	1.87108	0.00254311
270	1.86739	1.87107	0.00253373
271	1.93674	1.87131	0.00253594
272	1.88411	1.87135	0.00252706
273	1.89054	1.87143	0.00251878
274	1.95809	1.87174	0.00252937
275	1.95803	1.87206	0.00253956
276	1.93938	1.8723	0.00254204
277	1.93507	1.87253	0.00254295
278	1.93757	1.87276	0.00254454
279	1.97551	1.87313	0.00256193
280	1.92311	1.87331	0.002559
281	1.99543	1.87374	0.00258653
282	1.98471	1.87413	0.00260712
283	1.91514	1.87428	0.00260193
284	1.88998	1.87433	0.00259336
285	1.84263	1.87422	0.00258664
286	1.85349	1.87415	0.00257862
287	1.86696	1.87413	0.00256975
288	1.87525	1.87413	0.00256083
289	1.87272	1.87413	0.00255198
290	1.8758	1.87413	0.00254318
291	1.89322	1.8742	0.00253529
292	1.84989	1.87411	0.00252797
293	1.82213	1.87394	0.00252556
294	1.92404	1.87411	0.00252272
295	1.82672	1.87395	0.00251927
296	1.85087	1.87387	0.00251197
297	1.85529	1.87381	0.00250429
298	1.91501	1.87394	0.0024997
299	1.90364	1.87404	0.00249331
300	1.87007	1.87403	0.00248504
301	1.87377	1.87403	0.00247678
302	1.88764	1.87407	0.00246899
303	1.94264	1.8743	0.00247119
304	1.91296	1.87443	0.00246633
305	1.87612	1.87443	0.00245825
306	1.88943	1.87448	0.0024507
307	1.84252	1.87438	0.00244493
308	1.88628	1.87442	0.0024373
309	1.86096	1.87437	0.0024298
310	1.89279	1.87443	0.00242269
311	1.82327	1.87427	0.00242048
312	1.83356	1.87414	0.00241623
313	1.82303	1.87397	0.00241402
314	1.83591	1.87385	0.00240938
315	1.81222	1.87366	0.00240966
316	1.79702	1.87341	0.00241421
317	1.79042	1.87315	0.00242075
318	1.80199	1.87293	0.00242346
319	1.8637	1.8729	0.00241604
320	1.891	1.87296	0.00240915
321	1.84733	1.87288	0.00240296
322	1.81832	1.87271	0.00240147
323	1.8318	1.87258	0.00239737
324	1.8299	1.87245	0.00239359
325	1.84447	1.87236	0.00238777
326	1.82877	1.87223	0.00238419
327	1.81081	1.87204	0.00238428
328	1.87146	1.87204	0.00237701
329	1.90194	1.87213	0.00237153
330	1.902	1.87222	0.00236607
331	1.91509	1.87235	0.00236246
332	1.90154	1.87244	0.00235698
333	1.88982	1.87249	0.00235048
334	1.87906	1.87251	0.00234352
335	1.90526	1.87261	0.00233857
336	1.90053	1.87269	0.00233308
337	1.89175	1.87275	0.00232684
338	1.88748	1.87279	0.00232037
339	1.89884	1.87287	0.0023148
340	1.89614	1.87294	0.002309
341	1.87815	1.87295	0.00230228
342	1.86979	1.87294	0.00229557
343	1.86416	1.87292	0.00228902
344	1.85773	1.87287	0.00228279
345	1.87731	1.87289	0.00227621
346	1.85121	1.87282	0.00227049
347	1.87457	1.87283	0.00226395
348	1.88809	1.87287	0.00225787
349	1.85372	1.87282	0.00225207
350	1.82364	1.87268	0.00225002
351	1.85061	1.87261	0.00224448
352	1.83433	1.8725	0.00224074
353	1.84714	1.87243	0.00223554
354	1.8216	1.87229	0.00223384
355	1.84679	1.87222	0.0022287
356	1.90981	1.87232	0.00222494
357	1.94211	1.87252	0.00222728
358	1.86011	1.87248	0.00222133
359	1.87743	1.8725	0.00221518
360	1.88999	1.87255	0.00220956
361	1.87483	1.87255	0.00220345
362	1.91102	1.87266	0.00219992
