BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
165	0.891533	0.891149	6.36845e-05
166	0.890951	0.891148	6.3312e-05
167	0.890651	0.891145	6.30028e-05
168	0.891449	0.891147	6.26538e-05
169	0.891164	0.891147	6.22831e-05
170	0.890959	0.891146	6.19265e-05
171	0.891145	0.891146	6.15644e-05
172	0.89127	0.891147	6.12107e-05
173	0.891908	0.891151	6.1015e-05
174	0.891083	0.891151	6.06656e-05
175	0.889981	0.891144	6.06862e-05
176	0.889593	0.891135	6.09778e-05
177	0.892397	0.891142	6.10484e-05
178	0.891532	0.891145	6.07447e-05
179	0.891881	0.891149	6.05445e-05
180	0.891109	0.891148	6.02085e-05
181	0.889308	0.891138	6.07283e-05
182	0.890518	0.891135	6.04901e-05
183	0.889396	0.891125	6.09013e-05
184	0.890196	0.89112	6.07793e-05
185	0.8908	0.891119	6.04754e-05
186	0.890742	0.891117	6.01843e-05
187	0.891004	0.891116	5.98654e-05
188	0.893008	0.891126	6.03867e-05
189	0.891844	0.89113	6.01865e-05
190	0.890971	0.891129	5.98755e-05
191	0.889791	0.891122	5.99704e-05
192	0.890966	0.891121	5.96636e-05
193	0.892384	0.891128	5.97123e-05
194	0.889986	0.891122	5.96939e-05
195	0.890375	0.891118	5.95106e-05
196	0.891773	0.891121	5.93008e-05
197	0.891822	0.891125	5.91064e-05
198	0.891445	0.891127	5.883e-05
199	0.891682	0.891129	5.86005e-05
200	0.890687	0.891127	5.83492e-05
201	0.892232	0.891133	5.83173e-05
202	0.891035	0.891132	5.80306e-05
203	0.892236	0.891138	5.79989e-05
204	0.891577	0.89114	5.77546e-05
205	0.891442	0.891141	5.74917e-05
206	0.89159	0.891143	5.72539e-05
207	0.889397	0.891135	5.75954e-05
208	0.891548	0.891137	5.73527e-05
209	0.892289	0.891142	5.73426e-05
210	0.892464	0.891149	5.74139e-05
211	0.891657	0.891151	5.71922e-05
212	0.891488	0.891153	5.69445e-05
213	0.892916	0.891161	5.72759e-05
214	0.891534	0.891163	5.70348e-05
215	0.892331	0.891168	5.70278e-05
216	0.891353	0.891169	5.67703e-05
217	0.89099	0.891168	5.65146e-05
218	0.890738	0.891166	5.62897e-05
219	0.891192	0.891166	5.60328e-05
220	0.890467	0.891163	5.58682e-05
221	0.889101	0.891154	5.6389e-05
222	0.89072	0.891152	5.61688e-05
223	0.88901	0.891142	5.67319e-05
224	0.891028	0.891142	5.6481e-05
225	0.889793	0.891136	5.65473e-05
226	0.891264	0.891136	5.63e-05
227	0.890722	0.891135	5.60816e-05
228	0.892193	0.891139	5.60273e-05
229	0.890548	0.891137	5.5842e-05
230	0.891841	0.89114	5.56831e-05
231	0.889996	0.891135	5.56615e-05
232	0.891783	0.891137	5.54918e-05
233	0.891911	0.891141	5.53528e-05
234	0.892741	0.891148	5.55372e-05
235	0.890874	0.891146	5.53131e-05
236	0.890026	0.891142	5.52819e-05
237	0.892333	0.891147	5.52768e-05
238	0.890662	0.891145	5.5082e-05
239	0.891088	0.891144	5.48521e-05
240	0.891481	0.891146	5.46414e-05
241	0.88965	0.89114	5.47662e-05
242	0.890336	0.891136	5.46404e-05
243	0.890975	0.891136	5.44196e-05
244	0.890021	0.891131	5.43878e-05
245	0.89172	0.891134	5.42189e-05
246	0.891904	0.891137	5.40889e-05
247	0.890269	0.891133	5.39838e-05
248	0.890958	0.891132	5.37707e-05
249	0.891536	0.891134	5.35793e-05
250	0.8911	0.891134	5.33651e-05
251	0.891082	0.891134	5.31529e-05
252	0.891861	0.891137	5.30202e-05
253	0.890647	0.891135	5.2846e-05
254	0.891301	0.891135	5.2642e-05
255	0.891185	0.891136	5.24359e-05
256	0.890454	0.891133	5.22985e-05
257	0.891361	0.891134	5.21026e-05
258	0.890141	0.89113	5.20425e-05
259	0.891477	0.891131	5.18588e-05
260	0.890546	0.891129	5.17082e-05
261	0.892715	0.891135	5.18658e-05
262	0.889571	0.891129	5.20104e-05
263	0.889948	0.891125	5.20063e-05
264	0.892647	0.89113	5.2128e-05
265	0.891093	0.89113	5.19314e-05
266	0.890851	0.891129	5.17468e-05
267	0.890434	0.891127	5.16186e-05
268	0.889874	0.891122	5.16372e-05
269	0.891156	0.891122	5.14454e-05
270	0.891599	0.891124	5.12851e-05
271	0.891442	0.891125	5.11093e-05
272	0.890394	0.891122	5.0992e-05
273	0.890116	0.891119	5.09382e-05
274	0.890925	0.891118	5.07572e-05
275	0.890021	0.891114	5.07292e-05
276	0.890743	0.891113	5.05631e-05
277	0.891019	0.891112	5.03818e-05
278	0.892438	0.891117	5.04256e-05
279	0.891403	0.891118	5.02553e-05
280	0.891913	0.891121	5.01559e-05
281	0.89096	0.89112	4.99807e-05
282	0.890979	0.89112	4.9806e-05
283	0.890174	0.891116	4.97421e-05
284	0.889496	0.891111	4.98932e-05
285	0.890449	0.891108	4.97721e-05
286	0.892318	0.891113	4.97773e-05
287	0.890682	0.891111	4.96265e-05
288	0.892236	0.891115	4.96075e-05
289	0.890473	0.891113	4.94856e-05
290	0.891539	0.891114	4.93368e-05
291	0.891576	0.891116	4.91927e-05
292	0.891751	0.891118	4.90723e-05
293	0.89146	0.891119	4.89187e-05
294	0.88958	0.891114	4.90318e-05
295	0.8906	0.891112	4.88966e-05
296	0.891775	0.891114	4.87826e-05
297	0.892982	0.891121	4.90219e-05
298	0.891175	0.891121	4.88577e-05
299	0.892673	0.891126	4.89692e-05
300	0.890253	0.891123	4.88924e-05
301	0.892347	0.891127	4.88989e-05
302	0.890602	0.891126	4.87678e-05
303	0.891939	0.891128	4.86807e-05
304	0.891447	0.891129	4.85318e-05
305	0.889605	0.891124	4.86293e-05
306	0.891268	0.891125	4.84727e-05
307	0.890174	0.891122	4.84136e-05
308	0.890494	0.89112	4.82993e-05
309	0.89088	0.891119	4.81492e-05
310	0.891264	0.891119	4.79962e-05
311	0.891832	0.891122	4.78965e-05
312	0.889919	0.891118	4.78979e-05
313	0.890818	0.891117	4.77544e-05
314	0.890229	0.891114	4.7686e-05
315	0.890038	0.891111	4.76568e-05
316	0.890542	0.891109	4.75399e-05
317	0.889226	0.891103	4.77595e-05
318	0.890245	0.8911	4.76855e-05
319	0.890429	0.891098	4.75824e-05
320	0.891628	0.8911	4.74625e-05
321	0.890603	0.891098	4.73399e-05
322	0.890825	0.891097	4.72005e-05
323	0.888515	0.891089	4.77268e-05
324	0.891251	0.89109	4.75821e-05
325	0.890902	0.891089	4.74392e-05
326	0.891115	0.891089	4.72937e-05
327	0.892243	0.891093	4.72805e-05
328	0.891098	0.891093	4.71364e-05
329	0.891012	0.891093	4.69938e-05
330	0.891737	0.891095	4.68919e-05
331	0.892319	0.891098	4.68959e-05
332	0.891274	0.891099	4.67577e-05
333	0.891653	0.8911	4.66469e-05
334	0.891848	0.891103	4.65609e-05
335	0.889362	0.891097	4.67109e-05
336	0.891137	0.891098	4.65721e-05
337	0.890069	0.891095	4.65337e-05
338	0.89139	0.891095	4.64043e-05
339	0.890631	0.891094	4.62876e-05
340	0.890546	0.891092	4.61795e-05
341	0.891137	0.891093	4.60443e-05
342	0.891441	0.891094	4.59209e-05
343	0.891099	0.891094	4.5787e-05
344	0.891174	0.891094	4.56545e-05
345	0.889981	0.891091	4.5636e-05
346	0.889033	0.891085	4.58898e-05
347	0.891311	0.891085	4.57622e-05
348	0.891651	0.891087	4.56596e-05
349	0.891224	0.891087	4.55305e-05
350	0.891717	0.891089	4.5436e-05
351	0.892012	0.891092	4.53826e-05
352	0.892192	0.891095	4.53611e-05
353	0.890264	0.891093	4.52937e-05
354	0.890669	0.891091	4.51816e-05
355	0.892358	0.891095	4.51949e-05
356	0.890601	0.891093	4.50892e-05
357	0.89114	0.891094	4.49631e-05
358	0.891767	0.891096	4.48769e-05
359	0.891393	0.891096	4.47595e-05
360	0.891177	0.891097	4.46357e-05
361	0.8919	0.891099	4.45676e-05
362	0.890683	0.891098	4.44593e-05
