BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
177	1.65	1.65	8.98409e-09
178	1.65	1.65	8.95882e-09
179	1.65	1.65	8.93376e-09
180	1.65	1.65	8.90891e-09
181	1.65	1.65	8.88426e-09
182	1.65	1.65	8.85982e-09
183	1.65	1.65	9.05934e-09
184	1.65	1.65	9.03468e-09
185	1.65	1.65	9.01023e-09
186	1.65	1.65	8.98598e-09
187	1.65	1.65	8.96192e-09
188	1.65	1.65	8.93805e-09
189	1.65	1.65	8.91438e-09
190	1.65	1.65	8.89089e-09
191	1.65	1.65	9.08132e-09
192	1.65	1.65	9.05764e-09
193	1.65	1.65	9.03414e-09
194	1.65	1.65	9.01083e-09
195	1.65	1.65	8.9877e-09
196	1.65	1.65	8.96474e-09
197	1.65	1.65	8.94196e-09
198	1.65	1.65	8.91935e-09
199	1.65	1.65	8.89691e-09
200	1.65	1.65	9.07871e-09
201	1.65	1.65	9.0561e-09
202	1.65	1.65	9.03365e-09
203	1.65	1.65	9.01138e-09
204	1.65	1.65	8.98926e-09
205	1.65	1.65	8.96731e-09
206	1.65	1.65	8.94552e-09
207	1.65	1.65	8.92388e-09
208	1.65	1.65	8.90241e-09
209	1.65	1.65	8.88108e-09
210	1.65	1.65	8.85991e-09
211	1.65	1.65	9.0332e-09
212	1.65	1.65	9.01187e-09
213	1.65	1.65	8.99069e-09
214	1.65	1.65	8.96966e-09
215	1.65	1.65	8.94878e-09
216	1.65	1.65	8.92804e-09
217	1.65	1.65	8.90744e-09
218	1.65	1.65	8.88699e-09
219	1.65	1.65	8.86668e-09
220	1.65	1.65	8.8465e-09
221	1.65	1.65	8.82647e-09
222	1.65	1.65	8.99201e-09
223	1.65	1.65	8.97183e-09
224	1.65	1.65	8.95178e-09
225	1.65	1.65	8.93186e-09
226	1.65	1.65	8.91208e-09
227	1.65	1.65	8.89243e-09
228	1.65	1.65	8.87291e-09
229	1.65	1.65	8.85351e-09
230	1.65	1.65	8.83424e-09
231	1.65	1.65	8.8151e-09
232	1.65	1.65	8.79608e-09
233	1.65	1.65	8.77719e-09
234	1.65	1.65	8.75841e-09
235	1.65	1.65	8.91636e-09
236	1.65	1.65	8.89745e-09
237	1.65	1.65	8.87866e-09
238	1.65	1.65	8.85998e-09
239	1.65	1.65	8.84143e-09
240	1.65	1.65	8.82299e-09
241	1.65	1.65	8.80467e-09
242	1.65	1.65	8.78645e-09
243	1.65	1.65	8.76836e-09
244	1.65	1.65	8.75037e-09
245	1.65	1.65	8.73249e-09
246	1.65	1.65	8.71473e-09
247	1.65	1.65	8.69707e-09
248	1.65	1.65	8.67952e-09
249	1.65	1.65	8.8303e-09
250	1.65	1.65	8.81262e-09
251	1.65	1.65	8.79505e-09
252	1.65	1.65	8.77758e-09
