BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
2	3.39323	0.0494987	0.0493325	0.000117481
2	3.45787	0.0492015	0.0495877	0.000273064
2	3.5225	0.0498349	0.0498809	3.25535e-05
2	3.58713	0.049806	0.0500396	0.000165213
2	3.65177	0.0501744	0.0503196	0.000102656
2	3.7164	0.0494612	0.0498366	0.000265397
2	3.78103	0.0512056	0.0505547	0.000460255
2	3.84567	0.0504069	0.050496	6.30071e-05
2	3.9103	0.050885	0.0506944	0.000134787
2	3.97493	0.0511151	0.0510125	7.25526e-05
2	4.03957	0.0509342	0.0508684	4.6486e-05
2	4.1042	0.051434	0.0511307	0.00021451
2	4.16883	0.0513048	0.0509709	0.000236117
2	4.23346	0.0520454	0.0522121	0.0001179
2	4.2981	0.0523305	0.05192	0.000290266
2	4.36273	0.0519928	0.0519928	0
2	4.42736	0.051792	0.0519507	0.000112243
2	4.492	0.0525475	0.0521021	0.000314952
2	4.55663	0.0522258	0.052025	0.000141944
2	4.62126	0.0526237	0.052601	1.60432e-05
2	4.6859	0.05245	0.0524395	7.43116e-06
2	4.75053	0.0526507	0.0524975	0.00010835
2	4.81516	0.0529345	0.0530709	9.64163e-05
2	4.87979	0.0532778	0.0530615	0.000152968
2	4.94443	0.0533479	0.053073	0.000194399
2	5.00906	0.0529914	0.0531178	8.93822e-05
2	5.07369	0.0535787	0.0534175	0.000114051
2	5.13833	0.0533133	0.0534854	0.000121695
2	5.20296	0.0538496	0.0535104	0.000239826
2	5.26759	0.0542125	0.0539176	0.000208554
2	5.33223	0.0540409	0.0537975	0.000172115
2	5.39686	0.0540338	0.053791	0.000171676
2	5.46149	0.0536788	0.0540162	0.000238637
2	5.52612	0.0540106	0.053824	0.000131958
2	5.59076	0.0537443	0.0542778	0.000377293
2	5.65539	0.0542928	0.0542269	4.65894e-05
2	5.72002	0.0540987	0.0540729	1.8195e-05
2	5.78466	0.0543155	0.054534	0.000154542
2	5.84929	0.0545645	0.0544429	8.59946e-05
2	5.91392	0.0546537	0.0547357	5.79641e-05
2	5.97856	0.0547829	0.0547089	5.23052e-05
2	6.04319	0.054559	0.0549556	0.000280412
2	6.10782	0.0551661	0.0549569	0.000147932
2	6.17246	0.0547212	0.0547956	5.26032e-05
2	6.23709	0.0544893	0.0547966	0.000217257
2	6.30172	0.0553072	0.0550035	0.000214725
2	6.36635	0.0545173	0.055112	0.000420489
2	6.43099	0.054939	0.0551835	0.000172889
