BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
160	0.0621132	0.0618236	9.34192e-05
161	0.0624703	0.0618276	9.29253e-05
162	0.0640811	0.0618415	9.33871e-05
163	0.0639507	0.0618544	9.37063e-05
164	0.0643384	0.0618696	9.4351e-05
165	0.0623683	0.0618726	9.38276e-05
166	0.0629429	0.0618791	9.34836e-05
167	0.0643925	0.0618941	9.41276e-05
168	0.0636188	0.0619044	9.41254e-05
169	0.0625564	0.0619082	9.36475e-05
170	0.0645534	0.0619238	9.43804e-05
171	0.0658416	0.0619467	9.65694e-05
172	0.0652973	0.0619662	9.7953e-05
173	0.0646564	0.0619817	9.86134e-05
174	0.064856	0.0619983	9.94206e-05
175	0.0652501	0.0620168	0.000100574
176	0.063119	0.0620231	0.000100197
177	0.0623758	0.0620251	9.9651e-05
178	0.062108	0.0620256	9.90923e-05
179	0.0639963	0.0620366	9.91484e-05
180	0.0637457	0.0620461	9.90512e-05
181	0.063553	0.0620544	9.88532e-05
182	0.0616449	0.0620521	9.83357e-05
183	0.0605737	0.0620441	9.81296e-05
184	0.0609914	0.0620383	9.77629e-05
185	0.0619121	0.0620377	9.72368e-05
186	0.0625813	0.0620406	9.6758e-05
187	0.0615648	0.062038	9.6274e-05
188	0.0601701	0.0620281	9.62732e-05
189	0.0607654	0.0620214	9.59954e-05
190	0.0613253	0.0620178	9.55601e-05
191	0.0601041	0.0620077	9.55835e-05
192	0.0589646	0.0619919	9.63908e-05
193	0.0618328	0.0619911	9.58949e-05
194	0.0620311	0.0619913	9.54008e-05
195	0.061495	0.0619887	9.49455e-05
196	0.0611482	0.0619844	9.45579e-05
197	0.0604088	0.0619764	9.44156e-05
198	0.0612377	0.0619727	9.40124e-05
199	0.0631998	0.0619789	9.3742e-05
200	0.0623692	0.0619808	9.32936e-05
201	0.0620313	0.0619811	9.28298e-05
202	0.0611843	0.0619771	9.2454e-05
203	0.061438	0.0619745	9.20367e-05
204	0.0615629	0.0619725	9.16077e-05
205	0.0619627	0.0619724	9.11608e-05
206	0.060501	0.0619653	9.09977e-05
207	0.0612977	0.061962	9.06152e-05
208	0.0604778	0.0619549	9.04601e-05
209	0.0595337	0.0619433	9.0766e-05
210	0.0620964	0.061944	9.03368e-05
211	0.0632276	0.0619501	9.01132e-05
212	0.0612494	0.0619468	8.97488e-05
213	0.0604599	0.0619398	8.95985e-05
214	0.0607144	0.0619341	8.93626e-05
215	0.0603489	0.0619267	8.92506e-05
216	0.060688	0.061921	8.90215e-05
217	0.0609461	0.0619165	8.87245e-05
218	0.061118	0.0619129	8.83931e-05
219	0.0616001	0.0619114	8.8001e-05
220	0.0605351	0.0619052	8.78231e-05
221	0.0615912	0.0619038	8.74372e-05
222	0.0607907	0.0618987	8.7187e-05
223	0.0609575	0.0618945	8.68981e-05
224	0.0607478	0.0618894	8.66608e-05
225	0.0600617	0.0618813	8.66556e-05
226	0.0610711	0.0618777	8.63462e-05
227	0.0637912	0.0618861	8.63764e-05
228	0.0630969	0.0618914	8.61606e-05
229	0.0631622	0.061897	8.59629e-05
230	0.0629076	0.0619014	8.57014e-05
231	0.0620182	0.0619019	8.53319e-05
232	0.0620007	0.0619023	8.49651e-05
233	0.0621945	0.0619036	8.46097e-05
234	0.0618151	0.0619032	8.4249e-05
235	0.0620843	0.061904	8.3894e-05
236	0.0616764	0.061903	8.35441e-05
237	0.0623453	0.0619049	8.32124e-05
238	0.0623172	0.0619066	8.28808e-05
239	0.0602133	0.0618995	8.28363e-05
240	0.0613438	0.0618972	8.25235e-05
241	0.060969	0.0618933	8.22709e-05
242	0.0606004	0.061888	8.21042e-05
243	0.0611895	0.0618851	8.18167e-05
244	0.0613318	0.0618828	8.15128e-05
245	0.0616226	0.0618818	8.1187e-05
246	0.0608116	0.0618774	8.09734e-05
247	0.0617701	0.061877	8.06468e-05
248	0.060642	0.061872	8.04752e-05
249	0.0613576	0.06187	8.01785e-05
250	0.0629837	0.0618744	7.99814e-05
251	0.0606223	0.0618694	7.98182e-05
252	0.0600062	0.061862	7.98432e-05
253	0.0616297	0.0618611	7.95329e-05
254	0.0616155	0.0618601	7.92256e-05
255	0.0604429	0.0618546	7.91097e-05
256	0.0601979	0.0618481	7.90649e-05
257	0.0600644	0.0618412	7.90613e-05
258	0.0604937	0.061836	7.89272e-05
259	0.0623382	0.0618379	7.86462e-05
260	0.0623116	0.0618397	7.83648e-05
261	0.0619692	0.0618402	7.80662e-05
262	0.0610242	0.0618371	7.78303e-05
263	0.0604627	0.0618319	7.77096e-05
264	0.0612664	0.0618297	7.74448e-05
265	0.0613537	0.0618279	7.71734e-05
266	0.0611706	0.0618255	7.69228e-05
267	0.0605207	0.0618206	7.67898e-05
268	0.0595876	0.0618122	7.69539e-05
269	0.0608961	0.0618088	7.67432e-05
270	0.0614759	0.0618076	7.64689e-05
271	0.0622552	0.0618093	7.62045e-05
272	0.0623991	0.0618114	7.59552e-05
273	0.0620943	0.0618125	7.5684e-05
274	0.0605462	0.0618078	7.55488e-05
275	0.0588437	0.0617971	7.60391e-05
276	0.0593507	0.0617882	7.62785e-05
277	0.0605359	0.0617837	7.6137e-05
278	0.0610005	0.0617809	7.59152e-05
279	0.0640613	0.061789	7.60818e-05
280	0.0618895	0.0617894	7.58109e-05
281	0.0618247	0.0617895	7.55413e-05
282	0.0629817	0.0617937	7.53916e-05
283	0.0623605	0.0617957	7.51518e-05
284	0.0652574	0.0618079	7.58692e-05
285	0.0635311	0.061814	7.58435e-05
286	0.0628006	0.0618174	7.56567e-05
287	0.0618378	0.0618175	7.53932e-05
288	0.0607538	0.0618138	7.52218e-05
289	0.061568	0.061813	7.49663e-05
290	0.0624886	0.0618153	7.4744e-05
291	0.0631434	0.0618198	7.46264e-05
292	0.0620322	0.0618206	7.43743e-05
293	0.0632002	0.0618253	7.42694e-05
294	0.0624587	0.0618274	7.4048e-05
295	0.0611239	0.0618251	7.38354e-05
296	0.0623506	0.0618268	7.36073e-05
297	0.0609411	0.0618238	7.34199e-05
298	0.0615965	0.0618231	7.31775e-05
299	0.0618378	0.0618231	7.29327e-05
300	0.0618068	0.0618231	7.26896e-05
301	0.0618999	0.0618233	7.24486e-05
302	0.0612899	0.0618216	7.22302e-05
303	0.0613489	0.06182	7.20087e-05
304	0.0616677	0.0618195	7.17736e-05
305	0.0622712	0.061821	7.15535e-05
306	0.0620676	0.0618218	7.13242e-05
307	0.0615352	0.0618209	7.1098e-05
308	0.0617017	0.0618205	7.08682e-05
309	0.0632062	0.061825	7.07806e-05
310	0.062861	0.0618283	7.06312e-05
311	0.060899	0.0618253	7.04672e-05
312	0.0607794	0.061822	7.03211e-05
313	0.0602804	0.061817	7.02687e-05
314	0.060607	0.0618132	7.01505e-05
315	0.0602571	0.0618082	7.01015e-05
316	0.0626252	0.0618108	6.99273e-05
317	0.0613828	0.0618095	6.97198e-05
318	0.0617109	0.0618092	6.95012e-05
319	0.0630572	0.0618131	6.93933e-05
320	0.0617388	0.0618128	6.91769e-05
321	0.0608414	0.0618098	6.90275e-05
322	0.0604272	0.0618055	6.89466e-05
323	0.0609061	0.0618027	6.87893e-05
324	0.0627803	0.0618058	6.86432e-05
325	0.0625322	0.061808	6.84683e-05
326	0.060595	0.0618043	6.83593e-05
327	0.0604745	0.0618002	6.82711e-05
328	0.060335	0.0617957	6.8209e-05
329	0.0602508	0.061791	6.81631e-05
330	0.0616841	0.0617907	6.79573e-05
331	0.061815	0.0617908	6.77521e-05
332	0.0614729	0.0617898	6.75548e-05
333	0.0604459	0.0617858	6.74723e-05
334	0.0612199	0.0617841	6.72916e-05
335	0.0613829	0.0617829	6.71014e-05
336	0.061712	0.0617827	6.6902e-05
337	0.0621388	0.0617838	6.67118e-05
338	0.0622374	0.0617851	6.6528e-05
339	0.0623634	0.0617868	6.63536e-05
340	0.0605289	0.0617831	6.62615e-05
341	0.0622042	0.0617843	6.60787e-05
342	0.0647545	0.061793	6.64537e-05
343	0.063906	0.0617992	6.65449e-05
344	0.0631602	0.0618031	6.6469e-05
345	0.0625956	0.0618054	6.6316e-05
346	0.0625027	0.0618074	6.61549e-05
