BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
177	0.772927	0.778374	0.000357149
178	0.779569	0.778381	0.000355206
179	0.782747	0.778406	0.000354058
180	0.769613	0.778357	0.000355445
181	0.78218	0.778378	0.000354108
182	0.777805	0.778375	0.000352176
183	0.780946	0.778389	0.000350532
184	0.781784	0.778407	0.000349113
185	0.77859	0.778408	0.000347227
186	0.775159	0.778391	0.000345799
187	0.776947	0.778383	0.000344036
188	0.783929	0.778413	0.000343469
189	0.765614	0.778345	0.000348263
190	0.775739	0.778331	0.0003467
191	0.78209	0.778351	0.000345443
192	0.778372	0.778351	0.000343644
193	0.773343	0.778325	0.000342841
194	0.782792	0.778348	0.000341847
195	0.777575	0.778344	0.000340117
196	0.783347	0.77837	0.000339338
197	0.773936	0.778347	0.000338361
198	0.780092	0.778356	0.000336767
199	0.778192	0.778355	0.000335075
200	0.769165	0.778309	0.000336536
201	0.779391	0.778314	0.000334904
202	0.785469	0.77835	0.000335114
203	0.774283	0.77833	0.000334061
204	0.777448	0.778326	0.000332452
205	0.778411	0.778326	0.00033083
206	0.775423	0.778312	0.000329524
207	0.785429	0.778346	0.000329721
208	0.774468	0.778328	0.000328663
209	0.782805	0.778349	0.000327788
210	0.780307	0.778358	0.00032636
211	0.774236	0.778339	0.000325397
212	0.783058	0.778361	0.000324623
213	0.781369	0.778375	0.000323406
214	0.778113	0.778374	0.000321897
215	0.779209	0.778378	0.000320423
216	0.779225	0.778382	0.000318964
217	0.776589	0.778373	0.000317601
218	0.775673	0.778361	0.000316385
219	0.781829	0.778377	0.000315337
220	0.775594	0.778364	0.000314157
221	0.776417	0.778355	0.000312859
222	0.782867	0.778376	0.000312109
223	0.778951	0.778378	0.00031072
224	0.780248	0.778387	0.000309445
225	0.776827	0.77838	0.000308147
226	0.782914	0.7784	0.000307436
227	0.774385	0.778382	0.00030659
228	0.773882	0.778362	0.00030588
229	0.775386	0.778349	0.000304821
230	0.78439	0.778376	0.000304625
231	0.773326	0.778354	0.000304089
232	0.777928	0.778352	0.000302784
233	0.776402	0.778344	0.0003016
234	0.78073	0.778354	0.000300483
235	0.782211	0.77837	0.000299653
236	0.774211	0.778353	0.000298901
237	0.781044	0.778364	0.000297855
238	0.775666	0.778353	0.000296819
239	0.78499	0.77838	0.000296874
240	0.782637	0.778398	0.000296166
241	0.777127	0.778393	0.000294984
242	0.775953	0.778383	0.000293938
243	0.778991	0.778385	0.000292739
244	0.779188	0.778389	0.000291557
245	0.782508	0.778405	0.000290852
246	0.776792	0.778399	0.000289743
247	0.776783	0.778392	0.000288644
248	0.778761	0.778394	0.000287484
249	0.77704	0.778388	0.000286381
250	0.771714	0.778362	0.000286477
251	0.768592	0.778323	0.000287968
252	0.783106	0.778342	0.00028745
253	0.774055	0.778325	0.000286813
254	0.781543	0.778337	0.000285963
255	0.779308	0.778341	0.000284867
256	0.772228	0.778317	0.000284754
257	0.78059	0.778326	0.000283783
258	0.773937	0.778309	0.000283193
259	0.784414	0.778333	0.000283078
260	0.775652	0.778322	0.000282177
261	0.782643	0.778339	0.000281581
262	0.777827	0.778337	0.000280513
263	0.776243	0.778329	0.00027956
264	0.78225	0.778344	0.000278895
265	0.775795	0.778334	0.000278008
266	0.782732	0.778351	0.000277454
267	0.774676	0.778337	0.000276756
268	0.784422	0.77836	0.000276653
269	0.774691	0.778346	0.000275961
270	0.775064	0.778334	0.000275206
271	0.779388	0.778338	0.000274218
272	0.785551	0.778364	0.000274489
273	0.770675	0.778336	0.000274925
274	0.781183	0.778347	0.000274118
275	0.776926	0.778341	0.00027317
276	0.779927	0.778347	0.000272241
277	0.774473	0.778333	0.000271617
278	0.783526	0.778352	0.000271281
279	0.771739	0.778328	0.000271343
280	0.782813	0.778344	0.000270846
281	0.773179	0.778326	0.000270505
282	0.795256	0.778386	0.000276128
283	0.764831	0.778338	0.000279275
284	0.78324	0.778355	0.000278825
285	0.781194	0.778365	0.000278024
286	0.778309	0.778365	0.000277052
287	0.783755	0.778384	0.000276723
288	0.769373	0.778352	0.000277525
289	0.780581	0.77836	0.000276672
290	0.777549	0.778357	0.000275732
291	0.779757	0.778362	0.000274826
292	0.777644	0.77836	0.000273896
293	0.776057	0.778352	0.000273074
294	0.784127	0.778372	0.000272851
295	0.769984	0.778343	0.000273403
296	0.778634	0.778344	0.000272482
297	0.779072	0.778347	0.000271575
298	0.774295	0.778333	0.000271004
299	0.779499	0.778337	0.000270126
300	0.778056	0.778336	0.000269227
301	0.776479	0.77833	0.000268403
302	0.785115	0.778352	0.000268453
303	0.765937	0.778311	0.000270676
304	0.785306	0.778334	0.000270762
305	0.770513	0.778309	0.000271085
306	0.778678	0.77831	0.000270202
307	0.770162	0.778283	0.000270622
308	0.7816	0.778294	0.000269958
309	0.773439	0.778278	0.000269541
310	0.781931	0.77829	0.000268929
311	0.779567	0.778294	0.000268096
312	0.773592	0.778279	0.00026766
313	0.779833	0.778284	0.000266851
314	0.777344	0.778281	0.000266018
315	0.776119	0.778274	0.000265262
316	0.774588	0.778263	0.000264679
317	0.785589	0.778286	0.000264851
318	0.768085	0.778254	0.000265953
319	0.785244	0.778276	0.000266021
320	0.774068	0.778262	0.000265515
321	0.775896	0.778255	0.00026479
322	0.775134	0.778245	0.000264145
323	0.776764	0.778241	0.000263367
324	0.777473	0.778238	0.000262565
325	0.773075	0.778222	0.000262237
326	0.775592	0.778214	0.000261557
327	0.772657	0.778197	0.000261308
328	0.780285	0.778204	0.000260589
329	0.779963	0.778209	0.000259852
330	0.779583	0.778213	0.000259098
331	0.780019	0.778219	0.000258372
332	0.785852	0.778242	0.000258615
333	0.769844	0.778217	0.000259065
334	0.785061	0.778237	0.000259099
335	0.775903	0.77823	0.000258419
336	0.779372	0.778233	0.000257672
337	0.781768	0.778244	0.000257121
338	0.778603	0.778245	0.000256362
339	0.784409	0.778263	0.00025625
340	0.77047	0.77824	0.000256519
341	0.781387	0.778249	0.000255933
342	0.775388	0.778241	0.000255322
343	0.780348	0.778247	0.000254651
344	0.784539	0.778266	0.000254567
345	0.773816	0.778253	0.000254155
346	0.776773	0.778248	0.000253457
347	0.787491	0.778275	0.000254122
348	0.777106	0.778272	0.000253414
349	0.773851	0.778259	0.000253004
350	0.7761	0.778253	0.000252357
351	0.788815	0.778283	0.000253425
352	0.777373	0.77828	0.000252719
353	0.773491	0.778267	0.000252367
354	0.774164	0.778255	0.00025192
355	0.781066	0.778263	0.000251334
356	0.780639	0.77827	0.000250717
357	0.780701	0.778277	0.000250107
358	0.771123	0.778257	0.000250205
359	0.77768	0.778255	0.000249514
360	0.782313	0.778266	0.000249075
361	0.769725	0.778243	0.000249506
362	0.78409	0.778259	0.000249339
363	0.775847	0.778252	0.000248741
364	0.782319	0.778263	0.000248308
365	0.772748	0.778248	0.000248087
366	0.776954	0.778245	0.000247435
367	0.78341	0.778259	0.000247161
368	0.779878	0.778263	0.000246528
369	0.774022	0.778252	0.000246128
370	0.773416	0.778239	0.000245809
371	0.778027	0.778238	0.000245147
372	0.780214	0.778243	0.000244546
373	0.774459	0.778233	0.000244101
374	0.780881	0.77824	0.000243551
375	0.778637	0.778241	0.000242904
376	0.779902	0.778246	0.000242298
377	0.778184	0.778246	0.000241655
378	0.777714	0.778244	0.00024102
379	0.771502	0.778226	0.000241039
380	0.779504	0.77823	0.000240429
381	0.780635	0.778236	0.00023988
382	0.770051	0.778215	0.000240207
383	0.775072	0.778206	0.00023972
384	0.773213	0.778193	0.000239449
385	0.785389	0.778212	0.000239555
386	0.771674	0.778195	0.000239532
387	0.780989	0.778202	0.000239022
388	0.773085	0.778189	0.00023877
389	0.777375	0.778187	0.000238165
390	0.779826	0.778191	0.000237591
391	0.77731	0.778189	0.000236995
392	0.773754	0.778178	0.00023666
393	0.781079	0.778185	0.000236173
394	0.782034	0.778195	0.000235775
