BLOCK:	ACTUAL_TE:	TE_AVE:	ERROR:
150	-6.38408	-6.38479	6.43735e-05
151	-6.38407	-6.38478	6.41225e-05
152	-6.38457	-6.38478	6.37156e-05
153	-6.38376	-6.38477	6.36504e-05
154	-6.3833	-6.38477	6.39494e-05
155	-6.38548	-6.38477	6.37012e-05
156	-6.38681	-6.38478	6.46163e-05
157	-6.38548	-6.38479	6.43578e-05
158	-6.3844	-6.38478	6.39968e-05
159	-6.38352	-6.38478	6.40836e-05
160	-6.384	-6.38477	6.3865e-05
161	-6.38238	-6.38476	6.51743e-05
162	-6.38572	-6.38476	6.50429e-05
163	-6.38446	-6.38476	6.46699e-05
164	-6.38479	-6.38476	6.42757e-05
165	-6.38232	-6.38475	6.55699e-05
166	-6.38435	-6.38474	6.52193e-05
167	-6.38546	-6.38475	6.49709e-05
168	-6.38484	-6.38475	6.45866e-05
169	-6.38563	-6.38475	6.44129e-05
170	-6.3857	-6.38476	6.42731e-05
171	-6.3858	-6.38477	6.41832e-05
172	-6.38558	-6.38477	6.39858e-05
173	-6.38356	-6.38476	6.39985e-05
174	-6.38386	-6.38476	6.38423e-05
175	-6.38481	-6.38476	6.34781e-05
176	-6.38442	-6.38476	6.31464e-05
177	-6.38453	-6.38476	6.28032e-05
178	-6.38436	-6.38475	6.24902e-05
179	-6.38366	-6.38475	6.24371e-05
180	-6.38366	-6.38474	6.23814e-05
181	-6.38521	-6.38474	6.20912e-05
182	-6.38523	-6.38475	6.18076e-05
183	-6.38525	-6.38475	6.15303e-05
184	-6.38621	-6.38476	6.17082e-05
185	-6.38533	-6.38476	6.1452e-05
186	-6.38506	-6.38476	6.11432e-05
187	-6.38554	-6.38477	6.09564e-05
188	-6.38434	-6.38476	6.06738e-05
189	-6.38512	-6.38477	6.03815e-05
190	-6.3847	-6.38477	6.00647e-05
191	-6.38547	-6.38477	5.98631e-05
192	-6.38629	-6.38478	6.00712e-05
193	-6.3848	-6.38478	5.97601e-05
194	-6.38467	-6.38478	5.94547e-05
195	-6.38565	-6.38478	5.93202e-05
196	-6.3861	-6.38479	5.93979e-05
197	-6.38473	-6.38479	5.90972e-05
198	-6.38464	-6.38479	5.88035e-05
199	-6.38605	-6.38479	5.88476e-05
200	-6.3838	-6.38479	5.87607e-05
201	-6.38406	-6.38478	5.85788e-05
202	-6.38549	-6.38479	5.83932e-05
203	-6.38509	-6.38479	5.81247e-05
204	-6.38449	-6.38479	5.78582e-05
205	-6.38588	-6.38479	5.78228e-05
206	-6.38462	-6.38479	5.75479e-05
207	-6.38465	-6.38479	5.72742e-05
208	-6.38571	-6.3848	5.7167e-05
209	-6.38618	-6.3848	5.72738e-05
210	-6.38457	-6.3848	5.70117e-05
211	-6.38508	-6.3848	5.67572e-05
212	-6.38583	-6.38481	5.66966e-05
213	-6.38405	-6.3848	5.65413e-05
214	-6.38508	-6.38481	5.62914e-05
215	-6.38564	-6.38481	5.61628e-05
216	-6.38502	-6.38481	5.59109e-05
217	-6.38489	-6.38481	5.56544e-05
218	-6.38504	-6.38481	5.54088e-05
219	-6.38551	-6.38482	5.52478e-05
220	-6.38464	-6.38481	5.50023e-05
221	-6.38428	-6.38481	5.48058e-05
222	-6.38531	-6.38481	5.46057e-05
223	-6.38435	-6.38481	5.44014e-05
224	-6.3847	-6.38481	5.41609e-05
225	-6.38498	-6.38481	5.39254e-05
226	-6.38451	-6.38481	5.37038e-05
227	-6.38322	-6.3848	5.39235e-05
228	-6.38383	-6.3848	5.38574e-05
229	-6.38378	-6.3848	5.38073e-05
230	-6.38587	-6.3848	5.37746e-05
231	-6.38414	-6.3848	5.36174e-05
232	-6.38476	-6.3848	5.33865e-05
233	-6.38523	-6.3848	5.31904e-05
234	-6.38439	-6.3848	5.29918e-05
235	-6.3846	-6.3848	5.27729e-05
236	-6.38634	-6.3848	5.2952e-05
237	-6.3853	-6.3848	5.27695e-05
238	-6.38451	-6.3848	5.25623e-05
239	-6.38467	-6.3848	5.23452e-05
240	-6.38417	-6.3848	5.21939e-05
241	-6.38436	-6.3848	5.20096e-05
242	-6.38409	-6.3848	5.18776e-05
243	-6.38449	-6.38479	5.16798e-05
244	-6.38447	-6.38479	5.1485e-05
245	-6.38592	-6.3848	5.148e-05
246	-6.38415	-6.38479	5.13372e-05
247	-6.38454	-6.38479	5.114e-05
248	-6.38577	-6.3848	5.10864e-05
249	-6.38399	-6.38479	5.09849e-05
250	-6.38522	-6.3848	5.08094e-05
251	-6.3846	-6.3848	5.06131e-05
252	-6.38351	-6.38479	5.06692e-05
253	-6.38428	-6.38479	5.05094e-05
254	-6.38298	-6.38478	5.081e-05
255	-6.38507	-6.38478	5.06231e-05
256	-6.38576	-6.38479	5.057e-05
257	-6.38497	-6.38479	5.03781e-05
258	-6.38476	-6.38479	5.01829e-05
259	-6.38487	-6.38479	4.99902e-05
260	-6.38464	-6.38479	4.9801e-05
261	-6.38419	-6.38478	4.96627e-05
262	-6.38388	-6.38478	4.95939e-05
263	-6.38462	-6.38478	4.94089e-05
264	-6.38428	-6.38478	4.92574e-05
265	-6.38545	-6.38478	4.91369e-05
266	-6.38587	-6.38478	4.91237e-05
267	-6.38406	-6.38478	4.9015e-05
268	-6.38478	-6.38478	4.88321e-05
269	-6.38391	-6.38478	4.87578e-05
270	-6.38403	-6.38478	4.86563e-05
271	-6.38451	-6.38478	4.8487e-05
272	-6.3853	-6.38478	4.83467e-05
273	-6.38318	-6.38477	4.85222e-05
274	-6.38474	-6.38477	4.83452e-05
275	-6.38309	-6.38477	4.85547e-05
276	-6.3841	-6.38476	4.84386e-05
277	-6.38479	-6.38476	4.82639e-05
278	-6.38564	-6.38477	4.8194e-05
279	-6.38445	-6.38476	4.80347e-05
280	-6.38579	-6.38477	4.80027e-05
281	-6.38451	-6.38477	4.78409e-05
282	-6.38406	-6.38476	4.77372e-05
283	-6.38361	-6.38476	4.77424e-05
284	-6.38428	-6.38476	4.76048e-05
285	-6.38553	-6.38476	4.75141e-05
286	-6.38379	-6.38476	4.74689e-05
287	-6.38442	-6.38476	4.73183e-05
288	-6.38544	-6.38476	4.7213e-05
289	-6.38614	-6.38476	4.72903e-05
290	-6.38544	-6.38477	4.7184e-05
291	-6.38542	-6.38477	4.70754e-05
292	-6.38326	-6.38476	4.71983e-05
293	-6.38584	-6.38477	4.7179e-05
294	-6.38468	-6.38477	4.70195e-05
295	-6.38449	-6.38477	4.68694e-05
296	-6.38483	-6.38477	4.67116e-05
297	-6.3853	-6.38477	4.65892e-05
298	-6.38424	-6.38477	4.64664e-05
299	-6.38484	-6.38477	4.63117e-05
300	-6.384	-6.38476	4.62279e-05
301	-6.38309	-6.38476	4.64073e-05
302	-6.38363	-6.38475	4.64026e-05
303	-6.38363	-6.38475	4.63985e-05
304	-6.38342	-6.38475	4.64518e-05
305	-6.38467	-6.38475	4.63002e-05
306	-6.38559	-6.38475	4.62315e-05
307	-6.38355	-6.38475	4.62448e-05
308	-6.38524	-6.38475	4.61226e-05
309	-6.38333	-6.38474	4.62008e-05
310	-6.38439	-6.38474	4.60656e-05
311	-6.38388	-6.38474	4.60007e-05
312	-6.3847	-6.38474	4.58535e-05
313	-6.38579	-6.38474	4.5829e-05
314	-6.38512	-6.38474	4.56993e-05
315	-6.38342	-6.38474	4.57475e-05
316	-6.38548	-6.38474	4.56629e-05
317	-6.38452	-6.38474	4.55242e-05
318	-6.38493	-6.38474	4.5385e-05
319	-6.3855	-6.38474	4.53045e-05
320	-6.3851	-6.38474	4.51767e-05
321	-6.38472	-6.38474	4.5036e-05
322	-6.38464	-6.38474	4.48974e-05
323	-6.38473	-6.38474	4.47585e-05
324	-6.38451	-6.38474	4.4626e-05
325	-6.38348	-6.38474	4.4658e-05
326	-6.38511	-6.38474	4.45355e-05
327	-6.38439	-6.38474	4.4412e-05
328	-6.38511	-6.38474	4.42909e-05
329	-6.38478	-6.38474	4.41564e-05
330	-6.38443	-6.38474	4.40326e-05
331	-6.38351	-6.38474	4.40561e-05
332	-6.38447	-6.38474	4.39306e-05
333	-6.38444	-6.38473	4.38075e-05
334	-6.38503	-6.38474	4.36851e-05
335	-6.3841	-6.38473	4.35964e-05
336	-6.38483	-6.38473	4.34676e-05
337	-6.38513	-6.38473	4.33543e-05
338	-6.38605	-6.38474	4.33992e-05
339	-6.38542	-6.38474	4.33174e-05
340	-6.3832	-6.38474	4.34252e-05
341	-6.38441	-6.38474	4.33083e-05
342	-6.38565	-6.38474	4.32648e-05
343	-6.38426	-6.38474	4.31613e-05
344	-6.38443	-6.38474	4.30448e-05
345	-6.38385	-6.38473	4.29973e-05
346	-6.38481	-6.38473	4.28736e-05
347	-6.38501	-6.38473	4.27574e-05
348	-6.3859	-6.38474	4.27666e-05
349	-6.38481	-6.38474	4.26446e-05
350	-6.38619	-6.38474	4.27235e-05
351	-6.38435	-6.38474	4.26164e-05
352	-6.38481	-6.38474	4.24958e-05
353	-6.38469	-6.38474	4.23756e-05
354	-6.38458	-6.38474	4.22584e-05
355	-6.38457	-6.38474	4.2142e-05
356	-6.38634	-6.38474	4.2264e-05
357	-6.38359	-6.38474	4.22691e-05
358	-6.3839	-6.38474	4.2217e-05
359	-6.38418	-6.38474	4.21278e-05
360	-6.3842	-6.38474	4.20375e-05
361	-6.38407	-6.38473	4.19621e-05
362	-6.38467	-6.38473	4.18465e-05
363	-6.38441	-6.38473	4.17406e-05
364	-6.38562	-6.38474	4.16976e-05
365	-6.38357	-6.38473	4.17062e-05
366	-6.38585	-6.38474	4.17037e-05
367	-6.38464	-6.38473	4.15908e-05
368	-6.38459	-6.38473	4.14797e-05
369	-6.38549	-6.38474	4.14172e-05
370	-6.38525	-6.38474	4.13289e-05
371	-6.38482	-6.38474	4.12181e-05
372	-6.38521	-6.38474	4.11267e-05
373	-6.3857	-6.38474	4.10972e-05
374	-6.38328	-6.38474	4.11735e-05
375	-6.38517	-6.38474	4.10797e-05
376	-6.38539	-6.38474	4.1007e-05
377	-6.38455	-6.38474	4.09012e-05
378	-6.38333	-6.38474	4.09626e-05
379	-6.38419	-6.38474	4.08802e-05
380	-6.38431	-6.38473	4.07876e-05
381	-6.38535	-6.38474	4.07123e-05
382	-6.38559	-6.38474	4.06675e-05
383	-6.38448	-6.38474	4.0567e-05
384	-6.38404	-6.38474	4.05019e-05
385	-6.38501	-6.38474	4.04029e-05
386	-6.38467	-6.38474	4.02986e-05
387	-6.38525	-6.38474	4.02162e-05
388	-6.38555	-6.38474	4.01666e-05
389	-6.38618	-6.38474	4.02334e-05
390	-6.38554	-6.38475	4.01819e-05
391	-6.38456	-6.38474	4.00819e-05
392	-6.38415	-6.38474	4.00085e-05
393	-6.38671	-6.38475	4.02197e-05
394	-6.38501	-6.38475	4.0123e-05
395	-6.38585	-6.38475	4.01177e-05
396	-6.38373	-6.38475	4.00994e-05
397	-6.38539	-6.38475	4.00306e-05
398	-6.38434	-6.38475	3.99434e-05
399	-6.38396	-6.38475	3.98922e-05
400	-6.38362	-6.38474	3.9892e-05
401	-6.38548	-6.38475	3.9835e-05
402	-6.38522	-6.38475	3.97535e-05
403	-6.38477	-6.38475	3.96548e-05
404	-6.38564	-6.38475	3.96179e-05
405	-6.38584	-6.38475	3.96114e-05
406	-6.38563	-6.38475	3.95727e-05
407	-6.38436	-6.38475	3.94872e-05
408	-6.3853	-6.38476	3.94132e-05
409	-6.38462	-6.38476	3.93183e-05
410	-6.38478	-6.38476	3.92224e-05
411	-6.38528	-6.38476	3.91474e-05
412	-6.38541	-6.38476	3.90846e-05
413	-6.38415	-6.38476	3.90179e-05
414	-6.38414	-6.38475	3.89524e-05
415	-6.38397	-6.38475	3.89048e-05
416	-6.38543	-6.38475	3.88451e-05
417	-6.38489	-6.38475	3.87534e-05
418	-6.38571	-6.38476	3.87274e-05
419	-6.38398	-6.38476	3.86791e-05
420	-6.38355	-6.38475	3.8693e-05
421	-6.38315	-6.38475	3.87875e-05
422	-6.38486	-6.38475	3.86965e-05
423	-6.38469	-6.38475	3.86052e-05
424	-6.38608	-6.38475	3.86411e-05
425	-6.38395	-6.38475	3.85957e-05
426	-6.38509	-6.38475	3.85135e-05
427	-6.38459	-6.38475	3.84253e-05
428	-6.38341	-6.38475	3.84639e-05
429	-6.38464	-6.38475	3.83751e-05
430	-6.38492	-6.38475	3.82879e-05
431	-6.38552	-6.38475	3.82412e-05
432	-6.38466	-6.38475	3.81532e-05
433	-6.3851	-6.38475	3.80739e-05
434	-6.3837	-6.38475	3.80626e-05
435	-6.38612	-6.38475	3.81057e-05
436	-6.38406	-6.38475	3.80511e-05
437	-6.38513	-6.38475	3.7974e-05
438	-6.38489	-6.38475	3.78885e-05
439	-6.38487	-6.38475	3.78032e-05
440	-6.38558	-6.38475	3.77641e-05
441	-6.38402	-6.38475	3.77154e-05
442	-6.38425	-6.38475	3.76474e-05
443	-6.38446	-6.38475	3.75682e-05
444	-6.38488	-6.38475	3.74848e-05
445	-6.3843	-6.38475	3.74144e-05
446	-6.38488	-6.38475	3.73317e-05
447	-6.38361	-6.38475	3.73354e-05
448	-6.38392	-6.38474	3.72978e-05
449	-6.38401	-6.38474	3.72509e-05
450	-6.38255	-6.38474	3.74843e-05
451	-6.38297	-6.38473	3.76054e-05
452	-6.38634	-6.38474	3.76906e-05
453	-6.38534	-6.38474	3.76306e-05
454	-6.3842	-6.38474	3.7566e-05
455	-6.38492	-6.38474	3.74856e-05
456	-6.38434	-6.38474	3.74135e-05
457	-6.38384	-6.38474	3.73833e-05
458	-6.38235	-6.38473	3.76614e-05
459	-6.38497	-6.38473	3.7583e-05
460	-6.38473	-6.38473	3.75013e-05
461	-6.384	-6.38473	3.74535e-05
462	-6.38478	-6.38473	3.73727e-05
463	-6.38363	-6.38473	3.73678e-05
464	-6.38468	-6.38473	3.72874e-05
465	-6.38664	-6.38473	3.74328e-05
466	-6.3856	-6.38473	3.73993e-05
467	-6.38582	-6.38473	3.73914e-05
468	-6.38343	-6.38473	3.74151e-05
469	-6.38419	-6.38473	3.73533e-05
470	-6.38629	-6.38473	3.74208e-05
471	-6.38564	-6.38474	3.7391e-05
472	-6.38526	-6.38474	3.7328e-05
473	-6.38559	-6.38474	3.7293e-05
474	-6.38669	-6.38474	3.74409e-05
475	-6.3848	-6.38474	3.73623e-05
476	-6.38374	-6.38474	3.73427e-05
477	-6.38342	-6.38474	3.73662e-05
478	-6.38488	-6.38474	3.72893e-05
479	-6.38511	-6.38474	3.72196e-05
480	-6.38478	-6.38474	3.71422e-05
481	-6.38426	-6.38474	3.70781e-05
482	-6.38525	-6.38474	3.70163e-05
483	-6.38512	-6.38474	3.69479e-05
484	-6.38296	-6.38474	3.70549e-05
485	-6.38447	-6.38474	3.69826e-05
486	-6.38402	-6.38473	3.69361e-05
487	-6.38389	-6.38473	3.6901e-05
488	-6.3853	-6.38473	3.68434e-05
489	-6.38617	-6.38474	3.68857e-05
490	-6.38472	-6.38474	3.68105e-05
491	-6.38443	-6.38474	3.67407e-05
492	-6.38422	-6.38474	3.66811e-05
493	-6.3844	-6.38473	3.6613e-05
494	-6.3858	-6.38474	3.66023e-05
495	-6.38505	-6.38474	3.65338e-05
496	-6.38321	-6.38473	3.65891e-05
497	-6.38404	-6.38473	3.65424e-05
498	-6.38462	-6.38473	3.64697e-05
499	-6.38438	-6.38473	3.64034e-05
500	-6.38467	-6.38473	3.63309e-05
501	-6.38427	-6.38473	3.62701e-05
502	-6.38288	-6.38473	3.63851e-05
503	-6.3821	-6.38472	3.66869e-05
504	-6.38373	-6.38472	3.66663e-05
505	-6.38509	-6.38472	3.66009e-05
506	-6.38522	-6.38472	3.6542e-05
507	-6.38473	-6.38472	3.647e-05
508	-6.38333	-6.38472	3.65005e-05
509	-6.38488	-6.38472	3.64301e-05
510	-6.38448	-6.38472	3.63618e-05
511	-6.38272	-6.38471	3.65006e-05
512	-6.38541	-6.38472	3.64548e-05
513	-6.38436	-6.38472	3.63902e-05
514	-6.38457	-6.38472	3.63205e-05
515	-6.38564	-6.38472	3.6294e-05
516	-6.38462	-6.38472	3.62242e-05
517	-6.38488	-6.38472	3.61555e-05
518	-6.38445	-6.38472	3.60895e-05
519	-6.38584	-6.38472	3.60853e-05
520	-6.38494	-6.38472	3.60185e-05
521	-6.38434	-6.38472	3.59565e-05
522	-6.38402	-6.38472	3.59127e-05
523	-6.3846	-6.38472	3.58446e-05
524	-6.38529	-6.38472	3.5793e-05
525	-6.38446	-6.38472	3.57282e-05
526	-6.38544	-6.38472	3.56866e-05
527	-6.3835	-6.38472	3.56942e-05
528	-6.38399	-6.38472	3.56528e-05
529	-6.38355	-6.38471	3.56538e-05
530	-6.38523	-6.38471	3.56e-05
531	-6.38392	-6.38471	3.55642e-05
532	-6.38399	-6.38471	3.55233e-05
533	-6.38512	-6.38471	3.5465e-05
534	-6.38492	-6.38471	3.54006e-05
535	-6.38447	-6.38471	3.53375e-05
536	-6.38459	-6.38471	3.52723e-05
