BLOCK:	DISTANCE:	ACTUAL_G:	AVE_GOFR:	ERROR:
2	1.28019	0.00104164	0.000964677	5.44229e-05
2	1.30325	0.000468989	0.00047143	1.72572e-06
2	1.32632	0.000472511	0.000415183	4.05372e-05
2	1.34939	0.000765251	0.000705061	4.25611e-05
2	1.37245	0.00126967	0.00132142	3.65955e-05
2	1.39552	0.00216918	0.00211552	3.79418e-05
2	1.41859	0.00419388	0.00377453	0.000296527
2	1.44165	0.00574822	0.00614956	0.000283791
2	1.46472	0.0081534	0.00823484	5.75925e-05
2	1.48778	0.0102368	0.0102187	1.28242e-05
2	1.51085	0.0114536	0.011637	0.000129654
2	1.53392	0.0124872	0.0122786	0.000147542
2	1.55698	0.0121973	0.0119422	0.000180372
2	1.58005	0.0110815	0.0112721	0.000134752
2	1.60312	0.00897171	0.00899771	1.83806e-05
2	1.62618	0.00588864	0.00605217	0.000115629
2	1.64925	0.00423284	0.00425112	1.29275e-05
2	1.67232	0.00294757	0.00284369	7.34549e-05
2	1.69538	0.00272961	0.00263298	6.83264e-05
2	1.71845	0.00341317	0.00339329	1.40552e-05
2	1.74152	0.00579419	0.00562819	0.000117379
2	1.76458	0.0107231	0.0104124	0.000219679
2	1.78765	0.0166203	0.016301	0.000225757
2	1.81071	0.0238035	0.0240291	0.000159572
2	1.83378	0.0322117	0.0324455	0.000165288
2	1.85685	0.0371628	0.037316	0.000108322
2	1.87991	0.0386167	0.0393884	0.00054566
2	1.90298	0.0365603	0.0368037	0.00017216
2	1.92605	0.0318378	0.0313993	0.000310069
2	1.94911	0.0239298	0.0241854	0.00018073
2	1.97218	0.0177882	0.0179202	9.33704e-05
2	1.99525	0.0120648	0.0120643	3.7879e-07
2	2.01831	0.00818359	0.00765674	0.000372537
2	2.04138	0.00603468	0.00591091	8.75204e-05
2	2.06445	0.00675335	0.00637107	0.000270312
2	2.08751	0.00864128	0.00834818	0.000207253
2	2.11058	0.0115527	0.0117013	0.000105073
2	2.13364	0.0149584	0.0147736	0.000130685
2	2.15671	0.0154347	0.0156704	0.000166641
2	2.17978	0.0146853	0.0153968	0.000503055
2	2.20284	0.014053	0.0142291	0.000124514
2	2.22591	0.0118676	0.0119471	5.62571e-05
2	2.24898	0.0101141	0.00981206	0.000213604
2	2.27204	0.0087493	0.00852783	0.000156598
2	2.29511	0.00904195	0.00869145	0.000247844
3	0.0115332	0	0	0
3	0.0345996	0	0	0
3	0.0576661	0	0	0
3	0.0807325	0	0	0
3	0.103799	0	0	0
3	0.126865	0	0	0
3	0.149932	0	0	0
3	0.172998	0	0	0
3	0.196065	0	0	0
3	0.219131	0	0	0
3	0.242198	0	0	0
3	0.265264	0	0	0
