BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
159	-7.55559	-7.55298	0.000514913
160	-7.54463	-7.55292	0.000514328
161	-7.55842	-7.55296	0.000512263
162	-7.55091	-7.55295	0.000509257
163	-7.5557	-7.55296	0.000506413
164	-7.55528	-7.55298	0.000503521
165	-7.56173	-7.55303	0.000503255
166	-7.55276	-7.55303	0.000500226
167	-7.54433	-7.55298	0.000499932
168	-7.55391	-7.55298	0.000496987
169	-7.55273	-7.55298	0.000494048
170	-7.55515	-7.55299	0.000491306
171	-7.55723	-7.55302	0.000489058
172	-7.55535	-7.55303	0.000486403
173	-7.54186	-7.55297	0.00048786
174	-7.55601	-7.55298	0.000485369
175	-7.54051	-7.55291	0.000487801
176	-7.54703	-7.55288	0.000486175
177	-7.55845	-7.55291	0.000484446
178	-7.55876	-7.55294	0.000482839
179	-7.55397	-7.55295	0.000480175
180	-7.53339	-7.55284	0.000489653
181	-7.56389	-7.5529	0.000490738
182	-7.55225	-7.5529	0.000488054
183	-7.55077	-7.55289	0.000485526
184	-7.55011	-7.55287	0.000483121
185	-7.551	-7.55286	0.000480615
186	-7.55109	-7.55285	0.000478125
187	-7.54407	-7.5528	0.000477869
188	-7.56564	-7.55287	0.000480177
189	-7.55007	-7.55286	0.000477865
190	-7.55003	-7.55284	0.000475582
191	-7.55546	-7.55286	0.000473289
192	-7.54382	-7.55281	0.000473158
193	-7.56875	-7.55289	0.000477864
194	-7.55682	-7.55291	0.00047583
195	-7.53918	-7.55284	0.000478573
196	-7.55831	-7.55287	0.000476943
197	-7.54883	-7.55285	0.000474962
198	-7.56827	-7.55293	0.000478907
199	-7.54565	-7.55289	0.000477895
200	-7.56111	-7.55293	0.000477267
201	-7.55973	-7.55297	0.00047609
202	-7.53779	-7.55289	0.000479627
203	-7.55653	-7.55291	0.000477599
204	-7.56745	-7.55298	0.000480551
205	-7.55206	-7.55298	0.000478228
206	-7.54381	-7.55293	0.00047797
207	-7.55231	-7.55293	0.00047567
208	-7.56022	-7.55296	0.000474673
209	-7.54325	-7.55292	0.000474671
210	-7.56169	-7.55296	0.000474246
211	-7.55563	-7.55297	0.000472167
212	-7.5377	-7.5529	0.000475401
213	-7.55905	-7.55293	0.000474046
214	-7.54125	-7.55287	0.000474961
215	-7.55448	-7.55288	0.000472811
216	-7.55383	-7.55288	0.000470643
